var_a,var_b,method,value
age,balance,spearman,0.09554789067671698
age,day,spearman,-0.009320804211063925
age,campaign,spearman,0.041972144025035345
age,pdays,spearman,-0.01753622187572339
age,previous,spearman,-0.011909174323888732
age,default,spearman,-0.015564664528633977
age,housing,spearman,-0.1575056866984583
age,loan,spearman,-0.007788189853858577
balance,day,spearman,0.0026344764458411407
balance,campaign,spearman,-0.030259098491030912
balance,pdays,spearman,0.07030820628588329
balance,previous,spearman,0.08044257128782231
balance,default,spearman,-0.1680468230025726
balance,housing,spearman,-0.06940121222355923
balance,loan,spearman,-0.130622818573846
day,campaign,spearman,0.1393230420893844
day,pdays,spearman,-0.09335454676637853
day,previous,spearman,-0.08908512671715822
day,default,spearman,0.008308833157336217
day,housing,spearman,-0.03106304906978885
day,loan,spearman,0.012804127002287087
campaign,pdays,spearman,-0.11177507298793078
campaign,previous,spearman,-0.10828706425634639
campaign,default,spearman,0.011937632431681293
campaign,housing,spearman,-0.034043341462603
campaign,loan,spearman,-0.0004275460217913694
pdays,previous,spearman,0.985783847479429
pdays,default,spearman,-0.03601454674663092
pdays,housing,spearman,0.07941833877978739
pdays,loan,spearman,-0.031939457744482605
previous,default,spearman,-0.037587282488333436
previous,housing,spearman,0.06058499255699698
previous,loan,spearman,-0.032972127212104727
default,housing,spearman,-0.004213119541031508
default,loan,spearman,0.08008899646142631
housing,loan,spearman,0.0432480341164758
job,marital,cramers_v,0.20774012041271847
job,education,cramers_v,0.461095685408221
job,contact,cramers_v,0.15201111876785042
job,month,cramers_v,0.1107759320654984
job,poutcome,cramers_v,0.06682142972442483
marital,education,cramers_v,0.12155371189705329
marital,contact,cramers_v,0.04308769809492409
marital,month,cramers_v,0.07125010297991283
marital,poutcome,cramers_v,0.029859544944061567
education,contact,cramers_v,0.12133921749392715
education,month,cramers_v,0.1087139764428296
education,poutcome,cramers_v,0.03653860614376533
contact,month,cramers_v,0.5111736171361294
contact,poutcome,cramers_v,0.2064969431448197
month,poutcome,cramers_v,0.2148409759858171
