feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
poutcome,Previous campaign outcome,0.10880073873847411,0.00559645573329463,150,0.11186937619578882,0.10364507268690047,0.1176817613043664,0.10553014561256086,0.105277337892754,1
contact,Contact channel,0.034270087055505535,0.007949542251550486,150,0.04564270122858569,0.027287381643827165,0.041200233039510405,0.02835534257537903,0.028864776790225415,2
month,Month of planned contact,0.014413006100748072,0.00794850302759646,150,0.022442535534565503,0.01458954133608403,0.01993418577184603,0.0,0.015098767861244795,3
housing,Housing loan,0.01438318276250441,0.013073285272903586,150,0.0,0.024880518465649388,0.0,0.014934295349079117,0.03210109999779354,4
age,Age (years),0.010176957716147508,0.008426687722071793,150,0.016070064888750332,0.0,0.01740185441923553,0.017412869272751683,0.0,5
balance,Average yearly balance (EUR),0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,6
campaign,Contacts this campaign,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,7
day,Day of month of planned contact,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,8
default,Credit in default,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,9
education,Education level,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,10
job,Occupation,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,11
loan,Personal loan,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,12
marital,Marital status,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,13
pdays,Days since previous contact,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,14
previous,Contacts before this campaign,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,15
