feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
poutcome,Previous campaign outcome,0.10009271797750378,0.007255078730004506,150,0.09726093862466655,0.1067658641715085,0.09570807243996118,0.0975980346954095,0.10313067995597325,1
month,Month of planned contact,0.06700664482272056,0.00832583823259683,150,0.06376663921673349,0.06911956463746821,0.05768568295342701,0.07182256507793329,0.07263877222804081,2
contact,Contact channel,0.06134165637346434,0.005779140236627627,150,0.06529039431788185,0.059092682479166964,0.061601188968248254,0.06153146278111812,0.05919255332090651,3
housing,Housing loan,0.02426334224854911,0.005119363640995324,150,0.027966097615505312,0.019135969930932636,0.025795730531006516,0.021800872852981972,0.026618040312319107,4
campaign,Contacts this campaign,0.010439018512975563,0.0034546060669634537,150,0.009813961760977576,0.01213782839562649,0.010733639828929489,0.007288478526832467,0.012221184052511795,5
balance,Average yearly balance (EUR),0.007663784872472442,0.00322350239286624,150,0.010752189772467235,0.007223159663472282,0.006890047875271464,0.007356264089106178,0.006097262962045055,6
previous,Contacts before this campaign,0.0067369154155525295,0.0030413571371895615,150,0.004738383381409872,0.008701532812801184,0.009145085236283277,0.006356865301225797,0.0047427103460425165,7
pdays,Days since previous contact,0.006664521290180472,0.0025986662321269456,150,0.007420386949298522,0.006799723493760483,0.006375624930743262,0.008037955675826037,0.004688915401274056,8
job,Occupation,0.004487550067216042,0.002335069520144047,150,0.004586215836923429,0.0027153216596785433,0.005186222779189435,0.005028358747027495,0.004921631313261306,9
marital,Marital status,0.004341793431852505,0.002585490713093905,150,0.005267057086603804,0.0047350216615541394,0.00472353674551876,0.004265884409068822,0.0027174672565169994,10
loan,Personal loan,0.0037270700534691756,0.0017985656828314748,150,0.005085137089308624,0.00402774491829182,0.0029231228822803415,0.0023683317765698744,0.004231013600895219,11
education,Education level,0.002835041048013366,0.0021890656896947354,150,0.0036488109402352735,0.004007984344444104,0.0002141394839675755,0.0017601733996321551,0.004544097071787721,12
day,Day of month of planned contact,0.000497038307886157,0.0007595895792092118,150,0.00037146752118398795,1.0876172197403037e-05,0.000898604176463876,-7.605497459354238e-05,0.0012802986441790602,13
default,Credit in default,-5.715965410147961e-06,0.00018199498094183472,150,4.471681633241113e-05,-7.605157467223122e-05,3.461121453008919e-05,-3.152315186055743e-05,-3.3313138045147163e-07,14
age,Age (years),-1.616886072418685e-05,0.0003916995810869571,150,6.468832999651509e-05,-0.00038065293908505954,0.0003715563502292148,5.560239361927325e-06,-0.00014199628412353189,15
