feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
poutcome,Previous campaign outcome,0.12465128619263761,0.00960239869795052,150,0.11267040768585326,0.12685307076189953,0.13292863878307656,0.12075223841763108,0.13005207531472757,1
month,Month of planned contact,0.09392086496977203,0.011622293478826397,150,0.09991347065464044,0.0744970822601113,0.10073442233414118,0.09350410816726347,0.10095524143270372,2
contact,Contact channel,0.0722017790188157,0.016810718531941344,150,0.08346860585486127,0.041315805935094395,0.08687253847825173,0.07101088778259577,0.07834105704327538,3
pdays,Days since previous contact,0.026484074661687687,0.007344901937382714,150,0.02939003530397568,0.01934159368664002,0.030284752875140142,0.020725149687863223,0.03267884175481936,4
age,Age (years),0.02423851844275007,0.005279699609314561,150,0.026373488475463797,0.01657479222528587,0.029550733930762352,0.022964076319192697,0.02572950126304563,5
housing,Housing loan,0.020508007348177048,0.004255985310465351,150,0.020277489075250867,0.02199192728954662,0.01943139175118392,0.018505454904666114,0.022333773720237697,6
day,Day of month of planned contact,0.015230334018112697,0.003075758236913649,150,0.014845381544386489,0.013777188955475358,0.014835817947543904,0.014910360584261977,0.017782921058895774,7
balance,Average yearly balance (EUR),0.006203709408126299,0.002336401052186008,150,0.007671022389009065,0.0042576174230784984,0.006039784350867352,0.005861042569663329,0.007189080308013248,8
marital,Marital status,0.003427863108358567,0.0017872010793425768,150,0.003582331359163826,0.004917528558694441,0.003000925856478792,0.00141061478585409,0.004227914981601685,9
previous,Contacts before this campaign,0.003025381395147527,0.003359043264622271,150,0.004169468930608345,0.006540946984293287,0.0026017651921794263,0.0014436984952372963,0.00037102737341928037,10
campaign,Contacts this campaign,0.002707066947164309,0.002955689935962986,150,0.00020912564430696594,0.006473849629893896,0.0010482774915166933,0.0023621504263629097,0.00344193154374108,11
job,Occupation,0.0015344249721402211,0.0021519016307458057,150,0.0009720487310735511,0.0006758831766976743,0.0030756091493763663,0.0016160396092388062,0.0013325441943147073,12
loan,Personal loan,0.0008162554714327655,0.0011873368773683646,150,0.00044746884249040423,0.0019239235425241566,0.000430462866353352,0.00037134988909666157,0.0009080722166992535,13
education,Education level,0.0006634722820311937,0.000969580203891962,150,-0.00021809890264898695,0.001750960807922247,0.0010198684783156164,0.000389701834395347,0.00037492919217174496,14
default,Credit in default,-1.0423309525116424e-05,3.299269185213301e-05,150,1.50073496205901e-05,-7.072320830451654e-07,-4.267415210432538e-05,-1.7810043313408e-05,-5.932469745393668e-06,15
