feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
month,Month of planned contact,0.09809904275042884,0.007372277614223354,150,0.09123566084535649,0.10505628628903159,0.09926915364932973,0.09632479128183391,0.09860932168659249,1
poutcome,Previous campaign outcome,0.0826285396297584,0.008837850039596624,150,0.0746763806115499,0.08925968750962308,0.09239735942953094,0.07702866626058176,0.07978060433750632,2
contact,Contact channel,0.0688335180033432,0.008240125372549712,150,0.07704760400184354,0.0639040161635185,0.07605339580105056,0.06341396004737458,0.06374861400292879,3
day,Day of month of planned contact,0.04611200618538496,0.007972860869721998,150,0.03713155503668395,0.04499225671580603,0.04787726614032817,0.04309586399573228,0.05746308903837435,4
pdays,Days since previous contact,0.025122439938305555,0.00503330152743491,150,0.026778845803463472,0.025218423584557524,0.028061395390113066,0.02087990635012611,0.02467362856326759,5
housing,Housing loan,0.016900296248951358,0.0047994140673837705,150,0.022290915978989866,0.017166154314901882,0.014000871302600503,0.01272879248786144,0.01831474716040311,6
campaign,Contacts this campaign,0.010093043077691738,0.003697269256500289,150,0.01167405017160562,0.011825757552598343,0.008057014705871416,0.008115242919089816,0.010793150039293493,7
age,Age (years),0.007994410860854834,0.0026657425695030394,150,0.00916610987769734,0.00856525855465141,0.008847785833503614,0.007039712306224585,0.006353187732197217,8
balance,Average yearly balance (EUR),0.006364259564519453,0.002935586252237559,150,0.005713232304448146,0.0071810587190030105,0.005891072025935786,0.007658154087891089,0.0053777806853192315,9
marital,Marital status,0.003892036352384253,0.002142439845102472,150,0.002669220997114213,0.005928512851599025,0.004298763819053362,0.002251396199518831,0.004312287894635836,10
loan,Personal loan,0.003263790813025213,0.002754295629458727,150,0.004992130935309384,0.004283234975420095,0.0032144325554195495,0.00041036314413978964,0.0034187924548372477,11
previous,Contacts before this campaign,0.0017663020647046954,0.001490137335316857,150,0.0007782171554268895,0.0018937073424288632,0.0029671469469149964,0.002857190954594683,0.00033524792415804414,12
education,Education level,0.0009958878482871799,0.0013071584092222235,150,0.002050322003503765,0.0009583121646267919,0.00022383594120296187,0.0007595554654722318,0.0009874136666301492,13
job,Occupation,0.00035017419372979975,0.002177570569034924,150,0.00010510816226311412,0.0015935887317458468,-0.001281786360422706,-0.0003958867758202256,0.0017298472108829696,14
default,Credit in default,-2.5478049245982366e-05,6.850810117223044e-05,150,-3.4419976978990645e-05,1.9328630098325304e-05,-5.7147843132432374e-05,-2.1323511350316662e-05,-3.3827544866497454e-05,15
