model,bin,mean_score,observed_rate,n
lr,1,0.01950043769060988,0.030135471385125796,3617
lr,2,0.03265241882925216,0.04202377661045065,3617
lr,3,0.046424243879201604,0.048659109759469174,3617
lr,4,0.06169327140764589,0.05669247787610619,3616
lr,5,0.07611400721562316,0.05999447055570915,3617
lr,6,0.09092836468482687,0.07575338678462815,3617
lr,7,0.10787788114009769,0.09789823008849557,3616
lr,8,0.13030173489125094,0.10423002488249931,3617
lr,9,0.17425324295984643,0.17860105059441525,3617
lr,10,0.4298979078248802,0.4758086812275366,3617
dt,1,0.04039214956634281,0.042839657282741736,4085
dt,2,0.041098748856115364,0.03997144896502498,4203
dt,3,0.06458499711559598,0.06398258977149075,4595
dt,4,0.084271372071798,0.09050324675324675,2464
dt,5,0.08828090194144403,0.08223381405339061,3259
dt,6,0.10630361647305858,0.10774348549251525,5411
dt,7,0.10832395347590716,0.11176088369070825,4617
dt,8,0.14618621210486568,0.15555555555555556,2250
dt,9,0.19466747462505682,0.19086651053864168,1708
dt,10,0.3817140144133141,0.3713646532438479,3576
rf,1,0.023736662951955166,0.027923693668786286,3617
rf,2,0.03882915206943757,0.035664915675974566,3617
rf,3,0.05559131489569828,0.041194359966823337,3617
rf,4,0.06699376719588498,0.04231194690265487,3616
rf,5,0.07467434192595718,0.0611003594138789,3617
rf,6,0.08296305157562997,0.07188277578103401,3617
rf,7,0.09260248587002441,0.0810287610619469,3616
rf,8,0.10771222777761974,0.11169477467514514,3617
rf,9,0.17001830889230782,0.20735416090682887,3617
rf,10,0.455646767749001,0.48963229195465857,3617
xgb,1,0.02309522692890174,0.02543544373790434,3617
xgb,2,0.034039470617151374,0.03400608238871993,3617
xgb,3,0.04282408009391646,0.031794304672380425,3617
xgb,4,0.05195092671526085,0.047289823008849555,3616
xgb,5,0.06143303270914425,0.05612385955211501,3617
xgb,6,0.0722509762624993,0.06856510920652474,3617
xgb,7,0.08674906770105317,0.07936946902654868,3616
xgb,8,0.10988017734792109,0.10174177495161736,3617
xgb,9,0.1815049577260301,0.2256013270666298,3617
xgb,10,0.5007773775618677,0.4998617638927288,3617
