threshold,predicted_positive,precision,recall,tp,fp,tn,fn
0.6492307692307693,230,0.6347826086956522,0.034507208697707396,146,84,31853,4085
0.6488156539649845,464,0.6357758620689655,0.06972346962892934,295,169,31768,3936
0.6476190476190476,724,0.638121546961326,0.10919404396123848,462,262,31675,3769
0.6463288521199586,962,0.6403326403326404,0.14559205861498464,616,346,31591,3615
0.6403326403326404,1205,0.6464730290456432,0.1841172299692744,779,426,31511,3452
0.39119804400978,1315,0.6220532319391635,0.19333490900496336,818,497,31440,3413
0.3901869158878505,1406,0.604551920341394,0.20089813282911842,850,556,31381,3381
0.37320574162679426,1575,0.5765079365079365,0.21460647601039942,908,667,31270,3323
0.3660030627871363,1718,0.559371362048894,0.22713306546915624,961,757,31180,3270
0.3630769230769231,1879,0.5412453432676956,0.24036870716142755,1017,862,31075,3214
0.19661222020568664,3576,0.3713646532438479,0.31387378870243443,1328,2248,29689,2903
0.19466747462505682,5284,0.31302043906131716,0.39092413141101395,1654,3630,28307,2577
0.14618621210486568,7534,0.2659941598088665,0.47364689198770976,2004,5530,26407,2227
0.10832395347590716,12151,0.20739033824376593,0.5956038761522099,2520,9631,22306,1711
0.10814440743526378,16811,0.18107191719707336,0.7194516662727488,3044,13767,18170,1187
0.09488139825218476,17562,0.17668830429336066,0.7333963601985346,3103,14459,17478,1128
0.09169054441260745,18376,0.17294296909011755,0.751122666036398,3178,15198,16739,1053
0.08714574898785425,20821,0.16190384707746985,0.7967383597258332,3371,17450,14487,860
0.084271372071798,23285,0.15434829289242002,0.8494445757504137,3594,19691,12246,637
0.08378572160196661,25796,0.14758102031322687,0.8997872843299456,3807,21989,9948,424
0.04145015105740181,27880,0.13945480631276902,0.9189316946348381,3888,23992,7945,343
0.04143012441116077,29975,0.13241034195162635,0.9380761049397306,3969,26006,5931,262
0.04076941688845875,32083,0.12642209269706697,0.9586386197116521,4056,28027,3910,175
0.04066410009624639,34145,0.12130619417191389,0.9789647837390688,4142,30003,1934,89
0.040114956292659563,36168,0.11698186241981863,1.0,4231,31937,0,0
