threshold,predicted_positive,precision,recall,tp,fp,tn,fn
0.9237323999404907,1,1.0,0.0002363507445048452,1,0,31937,4230
0.917471706867218,2,1.0,0.0004727014890096904,2,0,31937,4229
0.9141743183135986,3,0.6666666666666666,0.0004727014890096904,2,1,31936,4229
0.9129077792167664,4,0.5,0.0004727014890096904,2,2,31935,4229
0.9127144813537598,5,0.4,0.0004727014890096904,2,3,31934,4229
0.9020054340362549,6,0.3333333333333333,0.0004727014890096904,2,4,31933,4229
0.9017059206962585,7,0.42857142857142855,0.0007090522335145356,3,4,31933,4228
0.9004169702529907,8,0.375,0.0007090522335145356,3,5,31932,4228
0.8990868330001831,9,0.4444444444444444,0.0009454029780193808,4,5,31932,4227
0.8989134430885315,10,0.5,0.001181753722524226,5,5,31932,4226
0.8971304297447205,11,0.5454545454545454,0.0014181044670290711,6,5,31932,4225
0.8969684839248657,12,0.5833333333333334,0.0016544552115339162,7,5,31932,4224
0.8967670202255249,13,0.6153846153846154,0.0018908059560387616,8,5,31932,4223
0.8960998058319092,14,0.6428571428571429,0.002127156700543607,9,5,31932,4222
0.895004153251648,15,0.6666666666666666,0.002363507445048452,10,5,31932,4221
0.8949466347694397,16,0.6875,0.002599858189553297,11,5,31932,4220
0.8945489525794983,17,0.6470588235294118,0.002599858189553297,11,6,31931,4220
0.8938199281692505,18,0.6666666666666666,0.0028362089340581422,12,6,31931,4219
0.8911893963813782,19,0.6842105263157895,0.0030725596785629874,13,6,31931,4218
0.8909896612167358,20,0.7,0.0033089104230678325,14,6,31931,4217
0.8880556225776672,21,0.7142857142857143,0.003545261167572678,15,6,31931,4216
0.8879392147064209,22,0.7272727272727273,0.003781611912077523,16,6,31931,4215
0.8873715400695801,23,0.7391304347826086,0.004017962656582368,17,6,31931,4214
0.8873473405838013,24,0.75,0.004254313401087214,18,6,31931,4213
0.8872972726821899,25,0.76,0.0044906641455920585,19,6,31931,4212
0.8864617347717285,26,0.7692307692307693,0.004727014890096904,20,6,31931,4211
0.8832164406776428,27,0.7407407407407407,0.004727014890096904,20,7,31930,4211
0.8818063735961914,28,0.75,0.004963365634601749,21,7,31930,4210
0.8815786838531494,29,0.7586206896551724,0.005199716379106594,22,7,31930,4209
0.8803399801254272,30,0.7333333333333333,0.005199716379106594,22,8,31929,4209
0.8802912831306458,31,0.7419354838709677,0.005436067123611439,23,8,31929,4208
0.8799183368682861,32,0.75,0.0056724178681162845,24,8,31929,4207
0.8798752427101135,33,0.7575757575757576,0.00590876861262113,25,8,31929,4206
0.8780404329299927,34,0.7647058823529411,0.006145119357125975,26,8,31929,4205
0.8779153227806091,35,0.7714285714285715,0.00638147010163082,27,8,31929,4204
0.8772623538970947,36,0.7777777777777778,0.006617820846135665,28,8,31929,4203
0.8771941065788269,37,0.7837837837837838,0.0068541715906405105,29,8,31929,4202
0.8762874603271484,38,0.7894736842105263,0.007090522335145356,30,8,31929,4201
0.8751317858695984,39,0.7692307692307693,0.007090522335145356,30,9,31928,4201
0.8748809695243835,40,0.775,0.007326873079650201,31,9,31928,4200
