dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Bank Marketing,4,,split,development_rows,36168.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,4,,split,development_positives,4231.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,4,,split,test_rows,9043.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,4,,split,test_positives,1058.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,4,,split,outer_folds,5.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,4,,split,inner_folds,3.0,outputs/split/split_spec.json,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,lr,outer-fold CV,pr_auc_mean,0.4054118077939635,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,lr,outer-fold CV,pr_auc_sd,0.007668219024942904,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,dt,outer-fold CV,pr_auc_mean,0.30073220735192313,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,dt,outer-fold CV,pr_auc_sd,0.014815572979912027,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,rf,outer-fold CV,pr_auc_mean,0.4137857235273298,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,rf,outer-fold CV,pr_auc_sd,0.0238429982176896,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,xgb,outer-fold CV,pr_auc_mean,0.42188302033507075,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,xgb,outer-fold CV,pr_auc_sd,0.012995203009761869,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,dummy,outer-fold CV,pr_auc_mean,0.11698186142744749,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,8,dummy,outer-fold CV,pr_auc_sd,5.876439263078321e-05,outputs/modelling/baseline_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_mean,0.4059836179534586,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_sd,0.007865862057275259,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_fold_1,0.40380895135944106,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_fold_2,0.40548684919225503,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_fold_3,0.3972002836809943,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_fold_4,0.4046484835614668,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,pr_auc_fold_5,0.41877352197313605,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,search_score,0.4058573312752779,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,lr,nested development CV,final_fit_search_score,0.4069933779338175,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,dt,nested development CV,pr_auc_mean,0.2792590167778878,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,dt,nested development CV,pr_auc_sd,0.007416715042931127,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,dt,nested development CV,pr_auc_fold_1,0.2697001465425019,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
