stage,model,scope,metric
4,,split,development_positives
4,,split,development_rows
4,,split,inner_folds
4,,split,outer_folds
4,,split,test_positives
4,,split,test_rows
8,dt,outer-fold CV,pr_auc_mean
8,dt,outer-fold CV,pr_auc_sd
8,dummy,outer-fold CV,pr_auc_mean
8,dummy,outer-fold CV,pr_auc_sd
8,lr,outer-fold CV,pr_auc_mean
8,lr,outer-fold CV,pr_auc_sd
8,rf,outer-fold CV,pr_auc_mean
8,rf,outer-fold CV,pr_auc_sd
8,xgb,outer-fold CV,pr_auc_mean
8,xgb,outer-fold CV,pr_auc_sd
9,dt,nested development CV,final_fit_search_score
9,dt,nested development CV,pr_auc_fold_1
9,dt,nested development CV,pr_auc_fold_2
9,dt,nested development CV,pr_auc_fold_3
9,dt,nested development CV,pr_auc_fold_4
9,dt,nested development CV,pr_auc_fold_5
9,dt,nested development CV,pr_auc_mean
9,dt,nested development CV,pr_auc_sd
9,dt,nested development CV,search_score
9,lr,nested development CV,final_fit_search_score
9,lr,nested development CV,pr_auc_fold_1
9,lr,nested development CV,pr_auc_fold_2
9,lr,nested development CV,pr_auc_fold_3
9,lr,nested development CV,pr_auc_fold_4
9,lr,nested development CV,pr_auc_fold_5
9,lr,nested development CV,pr_auc_mean
9,lr,nested development CV,pr_auc_sd
9,lr,nested development CV,search_score
9,rf,nested development CV,final_fit_search_score
9,rf,nested development CV,pr_auc_fold_1
9,rf,nested development CV,pr_auc_fold_2
9,rf,nested development CV,pr_auc_fold_3
9,rf,nested development CV,pr_auc_fold_4
9,rf,nested development CV,pr_auc_fold_5
9,rf,nested development CV,pr_auc_mean
9,rf,nested development CV,pr_auc_sd
9,rf,nested development CV,search_score
9,xgb,nested development CV,final_fit_search_score
9,xgb,nested development CV,pr_auc_fold_1
9,xgb,nested development CV,pr_auc_fold_2
9,xgb,nested development CV,pr_auc_fold_3
9,xgb,nested development CV,pr_auc_fold_4
9,xgb,nested development CV,pr_auc_fold_5
9,xgb,nested development CV,pr_auc_mean
9,xgb,nested development CV,pr_auc_sd
9,xgb,nested development CV,search_score
11,dt,nested OOF development,brier
11,dt,nested OOF development,intercept
11,dt,nested OOF development,log_loss
11,dt,nested OOF development,slope
11,lr,nested OOF development,brier
11,lr,nested OOF development,intercept
11,lr,nested OOF development,log_loss
11,lr,nested OOF development,slope
11,rf,nested OOF development,brier
11,rf,nested OOF development,intercept
