,Credit limit (NT$),Sex,Education level,Marital status,Age (years),"Repayment status, September","Repayment status, August","Repayment status, July","Repayment status, June","Repayment status, May","Repayment status, April","Bill amount, September (NT$)","Bill amount, August (NT$)","Bill amount, July (NT$)","Bill amount, June (NT$)","Bill amount, May (NT$)","Bill amount, April (NT$)","Payment made, September (NT$)","Payment made, August (NT$)","Payment made, July (NT$)","Payment made, June (NT$)","Payment made, May (NT$)","Payment made, April (NT$)"
Credit limit (NT$),1.0,0.05700595409958255,-0.2614644608949801,-0.11863457134507285,0.19040308977397846,-0.2965128215438957,-0.3455029516120695,-0.3350894837931029,-0.3068062074386817,-0.2854274887795667,-0.26354929796344595,0.05159275344979412,0.0466567441748089,0.05927806372782158,0.07141522107546791,0.0784319469548463,0.08462367872302963,0.27289935074238536,0.2811215013295973,0.2833871103320037,0.2802377728227264,0.2905795803235735,0.31476790000794097
Sex,0.05700595409958255,1.0,0.012063973141921026,-0.02484885933917329,-0.09386937439115879,-0.05720548950117555,-0.07403247451573722,-0.07020355261948187,-0.06149305216391006,-0.05393548250649562,-0.04455883271574454,-0.03963916904216974,-0.03817017605913683,-0.029867103796749925,-0.023129777910657106,-0.015257716409605878,-0.011374338039616586,-6.850649882802728e-05,0.01157932805693623,0.02080890401308242,0.015816879704559746,0.017096881224005125,0.0349404624295413
Education level,-0.2614644608949801,0.012063973141921026,1.0,-0.15317704760161643,0.1573139432428379,0.13527485222038396,0.17332145262626214,0.16479049628304188,0.15520134720798945,0.1393401787208224,0.12538268492240498,0.09854576636857298,0.09547974782059697,0.08341565094068364,0.07210031156679038,0.062226180418022775,0.05789205815730074,-0.04140351194307663,-0.04587088860792512,-0.03942277679114344,-0.04048898001416688,-0.04570647966900407,-0.048796328732977394
Marital status,-0.11863457134507285,-0.02484885933917329,-0.15317704760161643,1.0,-0.4617903739551804,0.020586008732086308,0.03754026344985508,0.04269482958725582,0.04576070397650319,0.04646431066919325,0.04241296160882329,1.947804220493889e-05,0.003700574133245608,0.000248992686709626,0.002768896624171732,9.846886960725176e-05,-0.0017438260436162228,-0.005416024965418736,-0.019351518845104245,-0.015007215353153044,-0.019631847690343037,-0.018606871258242515,-0.01862487243898364
Age (years),0.19040308977397846,-0.09386937439115879,0.1573139432428379,-0.4617903739551804,1.0,-0.06268219263354921,-0.08323862817789103,-0.08370146323480196,-0.08024869554237675,-0.08373458223346464,-0.07572837386927182,0.0018271822231188978,0.002564052484027695,0.002065358171497571,-0.004339929673938038,-0.0009165213616385434,1.4535088894866995e-05,0.03530339665567419,0.044145129726828804,0.03440353097437335,0.040790157051322225,0.04080112726037789,0.038903582974672175
"Repayment status, September",-0.2965128215438957,-0.05720548950117555,0.13527485222038396,0.020586008732086308,-0.06268219263354921,1.0,0.6194969431451504,0.5404058515042153,0.50934452024424,0.4823321850857888,0.4614711744541608,0.30615792682113957,0.3222170840075501,0.30674976050468816,0.3003628719344801,0.2923808027621241,0.28366539430510096,-0.10727147570763358,-0.0678754096740837,-0.05796687017409166,-0.04007717832861923,-0.03089327427260348,-0.04868761415710776
"Repayment status, August",-0.3455029516120695,-0.07403247451573722,0.17332145262626214,0.03754026344985508,-0.08323862817789103,0.6194969431451504,1.0,0.79626083323365,0.7118803284139875,0.6735223385968998,0.6359730524133325,0.570453671414528,0.5495666667771825,0.5180838829613966,0.496099864838549,0.4761460773310461,0.4585840288221856,0.01586083372660194,0.08477607897966313,0.08551685697789842,0.09374488425680676,0.0984870048724041,0.08074411610539711
"Repayment status, July",-0.3350894837931029,-0.07020355261948187,0.16479049628304188,0.04269482958725582,-0.08370146323480196,0.5404058515042153,0.79626083323365,1.0,0.7980005908248824,0.7168078726416142,0.6700670702557203,0.520716762617904,0.5847960131956454,0.5542730607992042,0.5275466444235706,0.5023785673519163,0.4801195956877221,0.2117428678584573,0.0347607803303118,0.09880344402675588,0.11498543918735855,0.12108330902976994,0.09418107637833165
"Repayment status, June",-0.3068062074386817,-0.06149305216391006,0.15520134720798945,0.04576070397650319,-0.08024869554237675,0.50934452024424,0.7118803284139875,0.7980005908248824,1.0,0.8221164966608797,0.7305668730980986,0.5094308411608038,0.5540492408782992,0.616614909617948,0.5897149025466624,0.5588014278199381,0.5303540389049689,0.17960170246590274,0.2459683877120716,0.06359671382907466,0.14345046184456933,0.16001313087346392,0.141682577416279
"Repayment status, May",-0.2854274887795667,-0.05393548250649562,0.1393401787208224,0.04646431066919325,-0.08373458223346464,0.4823321850857888,0.6735223385968998,0.7168078726416142,0.8221164966608797,1.0,0.8212061287427425,0.4968227982321593,0.53459442431751,0.5851727815405866,0.647227093857491,0.6165302403131169,0.5778699405371047,0.16844132409140927,0.2205928913160859,0.25330203427582076,0.1048816251617304,0.18421599082561552,0.1711034912396878
