encoded_term,display_term,coefficient,sign,odds_ratio,absolute_coefficient
repayment__repayment_status_september_delay_2m,"Repayment status, September = two-month delay",2.0320049669304336,positive,7.6293676642717765,2.0320049669304336
repayment__repayment_status_september_delay_3m_plus,"Repayment status, September = delay of three months or more",1.6489297156042653,positive,5.2014098591785345,1.6489297156042653
nominal__education_level_4,Education level = other or undocumented,-1.1738955669732167,negative,0.3091602379822621,1.1738955669732167
repayment__repayment_status_april_delay_3m_plus,"Repayment status, April = delay of three months or more",0.6776357065582611,positive,1.9692164185813357,0.6776357065582611
repayment__repayment_status_september_delay_1m,"Repayment status, September = one-month delay",0.5432876705802105,positive,1.7216578116011891,0.5432876705802105
numeric__credit_limit,Credit limit (NT$),-0.3831944685006713,negative,0.6816803210452917,0.3831944685006713
repayment__repayment_status_july_delay_1_2m,"Repayment status, July = delay of one or two months",0.3668370956796258,positive,1.4431628025094103,0.3668370956796258
repayment__repayment_status_april_delay_1_2m,"Repayment status, April = delay of one or two months",0.3513406940265876,positive,1.4209713599080405,0.3513406940265876
repayment__repayment_status_may_delay_3m_plus,"Repayment status, May = delay of three months or more",-0.27191775874048385,negative,0.7619169195203561,0.27191775874048385
repayment__repayment_status_may_delay_1_2m,"Repayment status, May = delay of one or two months",0.27136877330499964,positive,1.311758722799626,0.27136877330499964
repayment__repayment_status_june_delay_1_2m,"Repayment status, June = delay of one or two months",0.23349013866512014,positive,1.2630003729598707,0.23349013866512014
repayment__repayment_status_june_delay_3m_plus,"Repayment status, June = delay of three months or more",-0.17320242444618164,negative,0.8409673652606959,0.17320242444618164
repayment__repayment_status_august_delay_1_2m,"Repayment status, August = delay of one or two months",0.1559125527385763,positive,1.168723996908219,0.1559125527385763
binary__sex,Sex,-0.14311675852940392,negative,0.8666528738728558,0.14311675852940392
nominal__marital_status_1,Marital status = married,0.1352838374398372,positive,1.1448616928504012,0.1352838374398372
nominal__marital_status_3,Marital status = other or undocumented,0.13160238324630377,positive,1.1406546856738473,0.13160238324630377
numeric__bill_amount_september,"Bill amount, September (NT$)",0.11855650128584866,positive,1.1258704854350337,0.11855650128584866
nominal__education_level_3,Education level = high school,-0.09983972747573544,negative,0.9049824502350251,0.09983972747573544
payment__payment_amount_july,"Payment made, July (NT$)",-0.07317869278082789,negative,0.9294347319091246,0.07317869278082789
payment__payment_amount_september,"Payment made, September (NT$)",-0.06826409618662663,negative,0.9340137715267951,0.06826409618662663
numeric__age,Age (years),0.06197795193078458,positive,1.0639388866712178,0.06197795193078458
payment__payment_amount_june,"Payment made, June (NT$)",-0.05670381341741755,negative,0.9448738868929095,0.05670381341741755
payment__payment_amount_april,"Payment made, April (NT$)",-0.048360877129080417,negative,0.9527898849497332,0.048360877129080417
payment__payment_amount_august,"Payment made, August (NT$)",-0.038311800574830045,negative,0.9624128132352526,0.038311800574830045
payment__payment_amount_may,"Payment made, May (NT$)",-0.026472711004341603,negative,0.9738746195331857,0.026472711004341603
repayment__repayment_status_august_delay_3m_plus,"Repayment status, August = delay of three months or more",-0.015395825649132477,negative,0.9847220841925768,0.015395825649132477
repayment__repayment_status_july_delay_3m_plus,"Repayment status, July = delay of three months or more",-0.013424774157513171,negative,0.9866649362271499,0.013424774157513171
nominal__education_level_1,Education level = graduate school,-0.008187821324813565,negative,0.9918456075853437,0.008187821324813565
