encoded_term,original_feature,display_term,term_importance
quantitative__credit_limit,credit_limit,Credit limit (NT$),0.0068432944650057455
quantitative__age,age,Age (years),0.0
quantitative__bill_amount_september,bill_amount_september,"Bill amount, September (NT$)",0.028223546437855657
quantitative__bill_amount_august,bill_amount_august,"Bill amount, August (NT$)",0.0
quantitative__bill_amount_july,bill_amount_july,"Bill amount, July (NT$)",0.0
quantitative__bill_amount_june,bill_amount_june,"Bill amount, June (NT$)",0.0
quantitative__bill_amount_may,bill_amount_may,"Bill amount, May (NT$)",0.0
quantitative__bill_amount_april,bill_amount_april,"Bill amount, April (NT$)",0.0
quantitative__payment_amount_september,payment_amount_september,"Payment made, September (NT$)",0.0
quantitative__payment_amount_august,payment_amount_august,"Payment made, August (NT$)",0.0
quantitative__payment_amount_july,payment_amount_july,"Payment made, July (NT$)",0.04627411200119247
quantitative__payment_amount_june,payment_amount_june,"Payment made, June (NT$)",0.0
quantitative__payment_amount_may,payment_amount_may,"Payment made, May (NT$)",0.0
quantitative__payment_amount_april,payment_amount_april,"Payment made, April (NT$)",0.0
ordinal__repayment_status_september,repayment_status_september,"Repayment status, September",0.7342472089939759
ordinal__repayment_status_august,repayment_status_august,"Repayment status, August",0.14865277965833548
ordinal__repayment_status_july,repayment_status_july,"Repayment status, July",0.0
ordinal__repayment_status_june,repayment_status_june,"Repayment status, June",0.0
ordinal__repayment_status_may,repayment_status_may,"Repayment status, May",0.035759058443634764
ordinal__repayment_status_april,repayment_status_april,"Repayment status, April",0.0
binary__sex,sex,Sex,0.0
nominal__education_level_1,education_level,Education level = graduate school,0.0
nominal__education_level_2,education_level,Education level = university,0.0
nominal__education_level_3,education_level,Education level = high school,0.0
nominal__education_level_4,education_level,Education level = other or undocumented,0.0
nominal__marital_status_1,marital_status,Marital status = married,0.0
nominal__marital_status_2,marital_status,Marital status = single,0.0
nominal__marital_status_3,marital_status,Marital status = other or undocumented,0.0
