encoded_term,original_feature,display_term,term_importance
quantitative__credit_limit,credit_limit,Credit limit (NT$),0.03879013352298005
quantitative__age,age,Age (years),0.030465021505984045
quantitative__bill_amount_september,bill_amount_september,"Bill amount, September (NT$)",0.040862947989554116
quantitative__bill_amount_august,bill_amount_august,"Bill amount, August (NT$)",0.025762979449819725
quantitative__bill_amount_july,bill_amount_july,"Bill amount, July (NT$)",0.022298569705682794
quantitative__bill_amount_june,bill_amount_june,"Bill amount, June (NT$)",0.02180520413248493
quantitative__bill_amount_may,bill_amount_may,"Bill amount, May (NT$)",0.021905422225349108
quantitative__bill_amount_april,bill_amount_april,"Bill amount, April (NT$)",0.02513868192626052
quantitative__payment_amount_september,payment_amount_september,"Payment made, September (NT$)",0.03186444606953888
quantitative__payment_amount_august,payment_amount_august,"Payment made, August (NT$)",0.03200979867266939
quantitative__payment_amount_july,payment_amount_july,"Payment made, July (NT$)",0.03530718496600651
quantitative__payment_amount_june,payment_amount_june,"Payment made, June (NT$)",0.023930227717568267
quantitative__payment_amount_may,payment_amount_may,"Payment made, May (NT$)",0.02592823594570401
quantitative__payment_amount_april,payment_amount_april,"Payment made, April (NT$)",0.026179762968283136
ordinal__repayment_status_september,repayment_status_september,"Repayment status, September",0.3261698307483971
ordinal__repayment_status_august,repayment_status_august,"Repayment status, August",0.13004765368879279
ordinal__repayment_status_july,repayment_status_july,"Repayment status, July",0.058843468027543915
ordinal__repayment_status_june,repayment_status_june,"Repayment status, June",0.030024204341496535
ordinal__repayment_status_may,repayment_status_may,"Repayment status, May",0.019473529061715362
ordinal__repayment_status_april,repayment_status_april,"Repayment status, April",0.01220916798668576
binary__sex,sex,Sex,0.005129333988197196
nominal__education_level_1,education_level,Education level = graduate school,0.0033511425505450545
nominal__education_level_2,education_level,Education level = university,0.003944297192313574
nominal__education_level_3,education_level,Education level = high school,0.0016681833752622628
nominal__education_level_4,education_level,Education level = other or undocumented,0.0007202211489927118
nominal__marital_status_1,marital_status,Marital status = married,0.0030441348091834277
nominal__marital_status_2,marital_status,Marital status = single,0.0030559596824315844
nominal__marital_status_3,marital_status,Marital status = other or undocumented,7.025660055729981e-05
