encoded_term,original_feature,display_term,term_importance
quantitative__credit_limit,credit_limit,Credit limit (NT$),0.02288043312728405
quantitative__age,age,Age (years),0.01270242128521204
quantitative__bill_amount_september,bill_amount_september,"Bill amount, September (NT$)",0.01831481046974659
quantitative__bill_amount_august,bill_amount_august,"Bill amount, August (NT$)",0.014558720402419567
quantitative__bill_amount_july,bill_amount_july,"Bill amount, July (NT$)",0.01232804637402296
quantitative__bill_amount_june,bill_amount_june,"Bill amount, June (NT$)",0.011953923851251602
quantitative__bill_amount_may,bill_amount_may,"Bill amount, May (NT$)",0.012541808187961578
quantitative__bill_amount_april,bill_amount_april,"Bill amount, April (NT$)",0.012073268182575703
quantitative__payment_amount_september,payment_amount_september,"Payment made, September (NT$)",0.018867898732423782
quantitative__payment_amount_august,payment_amount_august,"Payment made, August (NT$)",0.020958371460437775
quantitative__payment_amount_july,payment_amount_july,"Payment made, July (NT$)",0.01972087472677231
quantitative__payment_amount_june,payment_amount_june,"Payment made, June (NT$)",0.013447511941194534
quantitative__payment_amount_may,payment_amount_may,"Payment made, May (NT$)",0.013381602242588997
quantitative__payment_amount_april,payment_amount_april,"Payment made, April (NT$)",0.014752188697457314
ordinal__repayment_status_september,repayment_status_september,"Repayment status, September",0.3383972644805908
ordinal__repayment_status_august,repayment_status_august,"Repayment status, August",0.15178252756595612
ordinal__repayment_status_july,repayment_status_july,"Repayment status, July",0.09460709244012833
ordinal__repayment_status_june,repayment_status_june,"Repayment status, June",0.044243961572647095
ordinal__repayment_status_may,repayment_status_may,"Repayment status, May",0.031153328716754913
ordinal__repayment_status_april,repayment_status_april,"Repayment status, April",0.028841368854045868
binary__sex,sex,Sex,0.011771883815526962
nominal__education_level_1,education_level,Education level = graduate school,0.01059501338750124
nominal__education_level_2,education_level,Education level = university,0.011144791729748249
nominal__education_level_3,education_level,Education level = high school,0.008973554708063602
nominal__education_level_4,education_level,Education level = other or undocumented,0.01860719732940197
nominal__marital_status_1,marital_status,Marital status = married,0.010692134499549866
nominal__marital_status_2,marital_status,Marital status = single,0.012566807679831982
nominal__marital_status_3,marital_status,Marital status = other or undocumented,0.008141153492033482
