feature,display_name,importance_mean,importance_sd,n_measurements,rank
repayment_status_september,"Repayment status, September",0.18969307609032898,0.012458479158686813,150,1
credit_limit,Credit limit (NT$),0.012084161469365341,0.004258520606741542,150,2
repayment_status_april,"Repayment status, April",0.008425000464938185,0.002858479416316386,150,3
repayment_status_july,"Repayment status, July",0.005289495293397322,0.004030863795141452,150,4
bill_amount_september,"Bill amount, September (NT$)",0.004759203172888853,0.0029503471424035055,150,5
payment_amount_september,"Payment made, September (NT$)",0.004378294692934466,0.005333886624513772,150,6
repayment_status_may,"Repayment status, May",0.0038801587229819086,0.005046366344456225,150,7
education_level,Education level,0.003642626755282406,0.0018086637357246438,150,8
payment_amount_july,"Payment made, July (NT$)",0.003144651330972625,0.002379681250875051,150,9
repayment_status_june,"Repayment status, June",0.002435210758453711,0.0028297098944064687,150,10
marital_status,Marital status,0.0010320995168738834,0.0012854212334645855,150,11
sex,Sex,0.0010154226724043965,0.0018667700521869037,150,12
repayment_status_august,"Repayment status, August",0.0009855076265240055,0.0014384388719173712,150,13
payment_amount_august,"Payment made, August (NT$)",0.0009463806045102515,0.0013576386424690888,150,14
payment_amount_april,"Payment made, April (NT$)",0.0007223595392243628,0.0011125074192425398,150,15
age,Age (years),0.0006909760412225959,0.0010186037441511219,150,16
payment_amount_june,"Payment made, June (NT$)",0.0006153352631552729,0.0016566241000956488,150,17
payment_amount_may,"Payment made, May (NT$)",0.00020861648975849375,0.0006559801060270135,150,18
bill_amount_april,"Bill amount, April (NT$)",0.0,0.0,150,19
bill_amount_may,"Bill amount, May (NT$)",0.0,0.0,150,20
bill_amount_july,"Bill amount, July (NT$)",0.0,0.0,150,21
bill_amount_august,"Bill amount, August (NT$)",0.0,0.0,150,22
bill_amount_june,"Bill amount, June (NT$)",0.0,0.0,150,23
