feature,display_name,importance_mean,importance_sd,n_measurements,rank
repayment_status_september,"Repayment status, September",0.1864522172928974,0.010297635587824858,150,1
bill_amount_september,"Bill amount, September (NT$)",0.011509076294740966,0.0041974462049052495,150,2
credit_limit,Credit limit (NT$),0.011147598077894309,0.002872648204728008,150,3
repayment_status_august,"Repayment status, August",0.009464499940509435,0.0035711933222290788,150,4
payment_amount_july,"Payment made, July (NT$)",0.005044503801776897,0.0023538263189673524,150,5
repayment_status_july,"Repayment status, July",0.004720092074937389,0.0036811843393802935,150,6
payment_amount_september,"Payment made, September (NT$)",0.0037340061421253204,0.002522788003140993,150,7
payment_amount_august,"Payment made, August (NT$)",0.0035398870656435906,0.002408906575080114,150,8
repayment_status_june,"Repayment status, June",0.0034201801414920365,0.00157230171197126,150,9
repayment_status_april,"Repayment status, April",0.002864162470339691,0.0015075628699965397,150,10
repayment_status_may,"Repayment status, May",0.0024454475038330516,0.0019462759165719008,150,11
education_level,Education level,0.002433632732750969,0.0027604202168396773,150,12
age,Age (years),0.0017289411117468608,0.0023542568726551603,150,13
payment_amount_june,"Payment made, June (NT$)",0.0016436618007423071,0.0015385002553837636,150,14
payment_amount_may,"Payment made, May (NT$)",0.0016325446844021225,0.0019829993812995484,150,15
bill_amount_june,"Bill amount, June (NT$)",0.0013309424321801858,0.001354770506154541,150,16
bill_amount_april,"Bill amount, April (NT$)",0.0010178852940918152,0.0018857563511346586,150,17
bill_amount_august,"Bill amount, August (NT$)",0.0008863713806875895,0.0018128699110646445,150,18
bill_amount_july,"Bill amount, July (NT$)",0.0005652141680003779,0.0013145780836986425,150,19
payment_amount_april,"Payment made, April (NT$)",0.0004622604338700313,0.0017739078597460683,150,20
marital_status,Marital status,9.119482251462493e-05,0.001277528204151057,150,21
sex,Sex,5.995468405525821e-05,0.0009023218352819505,150,22
bill_amount_may,"Bill amount, May (NT$)",-0.00014529411688079494,0.0014075818111039429,150,23
