feature,display_name,mean_absolute_shap,mean_signed_shap,direction_rho,direction,n_rows,background_n,output_scale,rank
repayment_status_september,"Repayment status, September",0.08054491921044886,-0.010939005452021958,0.31769177700439055,positive,2000,200,raw class-1 probability output,1
repayment_status_august,"Repayment status, August",0.0327373874599859,0.011468284264169633,0.17648929646915545,positive,2000,200,raw class-1 probability output,2
payment_amount_july,"Payment made, July (NT$)",0.024617646293379362,-0.0011009549054875974,-0.5989491115428858,negative,2000,200,raw class-1 probability output,3
repayment_status_may,"Repayment status, May",0.021785246733874077,-0.0011884255239181215,0.16822656528370455,positive,2000,200,raw class-1 probability output,4
bill_amount_september,"Bill amount, September (NT$)",0.009954834670764395,0.0005348603311507022,0.15389579699548964,positive,2000,200,raw class-1 probability output,5
credit_limit,Credit limit (NT$),0.0036633965436834847,0.0005254777771327646,-0.797017049593364,negative,2000,200,raw class-1 probability output,6
age,Age (years),0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,7
bill_amount_may,"Bill amount, May (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,8
payment_amount_may,"Payment made, May (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,9
payment_amount_june,"Payment made, June (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,10
education_level,Education level,0.0,0.0,,category-dependent,2000,200,raw class-1 probability output,11
payment_amount_august,"Payment made, August (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,12
payment_amount_september,"Payment made, September (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,13
bill_amount_april,"Bill amount, April (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,14
bill_amount_june,"Bill amount, June (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,15
repayment_status_july,"Repayment status, July",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,16
bill_amount_july,"Bill amount, July (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,17
bill_amount_august,"Bill amount, August (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,18
sex,Sex,0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,19
repayment_status_april,"Repayment status, April",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,20
marital_status,Marital status,0.0,0.0,,category-dependent,2000,200,raw class-1 probability output,21
repayment_status_june,"Repayment status, June",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,22
payment_amount_april,"Payment made, April (NT$)",0.0,0.0,,mixed/weak,2000,200,raw class-1 probability output,23
