feature,display_name,mean_absolute_shap,mean_signed_shap,direction_rho,direction,n_rows,background_n,output_scale,rank
repayment_status_september,"Repayment status, September",0.41733176466881955,-0.041573017454869576,0.7708071494856317,positive,2000,200,log-odds (linear model raw output),1
credit_limit,Credit limit (NT$),0.20659183548406615,-0.03972113187958274,-1.0,negative,2000,200,log-odds (linear model raw output),2
payment_amount_september,"Payment made, September (NT$)",0.10210411115979659,-0.00039611602338192944,-0.9999999999999998,negative,2000,200,log-odds (linear model raw output),3
bill_amount_september,"Bill amount, September (NT$)",0.09496938260063185,0.009824817633482292,0.9999999999999998,positive,2000,200,log-odds (linear model raw output),4
repayment_status_april,"Repayment status, April",0.07894231056418388,-0.009046847582910184,0.574017722205377,positive,2000,200,log-odds (linear model raw output),5
payment_amount_july,"Payment made, July (NT$)",0.07874929975379215,-0.004877345313081476,-1.0,negative,2000,200,log-odds (linear model raw output),6
repayment_status_july,"Repayment status, July",0.0708405146331645,0.012982442574154181,0.5139889400991127,positive,2000,200,log-odds (linear model raw output),7
sex,Sex,0.06944454474122265,-0.005080644927793843,-1.0,negative,2000,200,log-odds (linear model raw output),8
marital_status,Marital status,0.06768053064357148,-0.006005869933159069,,category-dependent,2000,200,log-odds (linear model raw output),9
education_level,Education level,0.0612737142028636,0.00782587314402435,,category-dependent,2000,200,log-odds (linear model raw output),10
payment_amount_june,"Payment made, June (NT$)",0.058504585515603454,0.001581473864402256,-1.0,negative,2000,200,log-odds (linear model raw output),11
payment_amount_august,"Payment made, August (NT$)",0.0546349363672159,-0.0023097947031857587,-1.0,negative,2000,200,log-odds (linear model raw output),12
repayment_status_may,"Repayment status, May",0.04586489449323909,-0.0006745790352141099,0.42623164069321695,positive,2000,200,log-odds (linear model raw output),13
payment_amount_april,"Payment made, April (NT$)",0.03994434917117314,-0.0023244641046280884,-1.0,negative,2000,200,log-odds (linear model raw output),14
repayment_status_june,"Repayment status, June",0.03991309400684992,0.0034908610026608542,0.4446827821519093,positive,2000,200,log-odds (linear model raw output),15
age,Age (years),0.03668284273392582,-0.0035303594926727644,1.0,positive,2000,200,log-odds (linear model raw output),16
payment_amount_may,"Payment made, May (NT$)",0.02781640119345207,-0.0020885766143688357,-1.0,negative,2000,200,log-odds (linear model raw output),17
repayment_status_august,"Repayment status, August",0.02659685546711282,0.010599122141852312,0.499896837101009,positive,2000,200,log-odds (linear model raw output),18
