model,bin,mean_score,observed_rate,n
lr,1,0.06221491112306876,0.059166666666666666,2400
lr,2,0.09008963843036727,0.06708333333333333,2400
lr,3,0.10647042991385944,0.08625,2400
lr,4,0.12022932416270474,0.115,2400
lr,5,0.13438785491019556,0.14958333333333335,2400
lr,6,0.15193329850752527,0.16166666666666665,2400
lr,7,0.1829936809676789,0.20416666666666666,2400
lr,8,0.2471444653120214,0.24833333333333332,2400
lr,9,0.39565908214670614,0.425,2400
lr,10,0.7200995374592389,0.6958333333333333,2400
dt,1,0.1016796980048728,0.10507025045815516,4911
dt,2,0.10624706434945984,0.1040638055450057,2633
dt,3,0.10846181427034779,0.10710460549803641,2801
dt,4,0.10848338260324286,0.11501254030813328,2791
dt,5,0.17315078581064264,0.18058690744920994,1329
dt,6,0.1751990936072927,0.16531604538087522,2468
dt,7,0.2701839558856216,0.2735659847573205,2493
dt,8,0.42013566755367837,0.4147321428571429,2240
dt,9,0.7084865827572123,0.7022279348757497,2334
rf,1,0.06657512782938521,0.05625,2400
rf,2,0.08934910570195215,0.0775,2400
rf,3,0.09911370638087597,0.08208333333333333,2400
rf,4,0.11790411740601298,0.11583333333333333,2400
rf,5,0.13754497751031314,0.14166666666666666,2400
rf,6,0.15756711602800677,0.15458333333333332,2400
rf,7,0.18630930888461697,0.17958333333333334,2400
rf,8,0.24898548332069134,0.27291666666666664,2400
rf,9,0.407313121955915,0.42375,2400
rf,10,0.7044619746501798,0.7079166666666666,2400
xgb,1,0.04810534446888293,0.04625,2400
xgb,2,0.07340781513601541,0.06333333333333334,2400
xgb,3,0.09363657064115008,0.08791666666666667,2400
xgb,4,0.11325928929882745,0.10916666666666666,2400
xgb,5,0.13560155423668524,0.14791666666666667,2400
xgb,6,0.1593352999414007,0.15666666666666668,2400
xgb,7,0.19458810300876697,0.18958333333333333,2400
xgb,8,0.26465109014883637,0.27,2400
xgb,9,0.4214103767027458,0.4375,2400
xgb,10,0.7054364374528329,0.70375,2400
