threshold,precision,recall,fp,fn,tp,tn
0.0,0.22120833333333334,1.0,18691,0,5309,0
0.09750492449113592,0.22120833333333334,1.0,18691,0,5309,0
0.1051693404634581,0.23368866017276235,0.9579958560934263,16678,223,5086,2013
0.10624706434945984,0.2510870134632511,0.9028065549067621,14296,516,4793,4395
0.10846181427034779,0.27461108410306273,0.8511960821246939,11937,790,4519,6754
0.10848338260324286,0.30897107286708164,0.7946882652100207,9436,1090,4219,9255
0.17265193370165746,0.35879970544919,0.7342249011113204,6966,1411,3898,11725
0.17377182298010557,0.37217339784733877,0.7099265398380109,6358,1540,3769,12333
0.1743920972644377,0.3836392239119035,0.6890186475795819,5877,1651,3658,12814
0.1750291715285881,0.39898591549295775,0.6669805989828593,5334,1768,3541,13357
0.17620376831821355,0.4318941146234901,0.6330759088340554,4421,1948,3361,14270
0.2131979695431472,0.4598839677373709,0.6121680165756263,3817,2059,3250,14874
0.22580645161290322,0.4602135231316726,0.6089659069504615,3792,2076,3233,14899
0.2579210672595887,0.46133946536361026,0.6046336409870032,3748,2099,3210,14943
0.2624521072796935,0.4765059312894777,0.5825955923902807,3398,2216,3093,15293
0.2664359861591695,0.4797924201918541,0.5746844980222264,3308,2258,3051,15383
0.2745320476460579,0.4820577961257542,0.5718591071764928,3262,2273,3036,15429
0.27732558139534885,0.4984610123119015,0.5490676210209079,2933,2394,2915,15758
0.2782089552238806,0.5151738090858929,0.5275946505933321,2636,2508,2801,16055
0.27938671209540034,0.5346613545816733,0.5055566019966096,2336,2625,2684,16355
0.2850467289719626,0.5614341932662877,0.48370691278960254,2006,2741,2568,16685
0.3167420814479638,0.5669061517736865,0.4756074590318327,1929,2784,2525,16762
0.31981981981981983,0.5750115048320295,0.4707101148992277,1847,2810,2499,16844
0.36443148688046645,0.5847939365229748,0.4650593332077604,1753,2840,2469,16938
0.3722943722943723,0.5967823026646556,0.44716519118478054,1604,2935,2374,17087
0.3774703557312253,0.6016862544711293,0.4435863627801846,1559,2954,2355,17132
0.3931203931203931,0.6205858198740761,0.4270107364852138,1386,3042,2267,17305
0.4164420485175202,0.6338479464025634,0.40987003202109623,1257,3133,2176,17434
0.4191852825229961,0.647908979089791,0.3968732341307214,1145,3202,2107,17546
0.4647058823529412,0.6661211129296236,0.38331135807119987,1020,3274,2035,17671
0.5128205128205128,0.6682196339434276,0.37822565454887924,997,3301,2008,17694
0.5244444444444445,0.66723259762309,0.3701262007911094,980,3344,1965,17711
0.5256124721603563,0.6718419195483416,0.3586362780184592,930,3405,1904,17761
0.5276497695852534,0.6770756796473182,0.347146355245809,879,3466,1843,17812
0.53,0.6840077071290944,0.33433791674514973,820,3534,1775,17871
0.5300668151447662,0.6860510805500982,0.32887549444339803,799,3563,1746,17892
0.538961038961039,0.6933826551582408,0.31776229045017895,746,3622,1687,17945
0.6489626556016598,0.7022279348757497,0.30872103974383125,695,3670,1639,17996
0.6916956737941323,0.7051030421982336,0.2706724430212846,601,3872,1437,18090
0.7188195991091314,0.7009646302250804,0.20531173478997927,465,4219,1090,18226
0.7197309417040358,0.7068345323741008,0.14805048031644377,326,4523,786,18365
0.7204419889502762,0.7162576687116564,0.08796383499717461,185,4842,467,18506
0.7639751552795031,0.7393617021276596,0.02618195517046525,49,5170,139,18642
1.0,0.0,0.0,0,5309,0,18691
