dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Default of Credit Card Clients,2,,full-file structural audit,file_size_bytes,2867208.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,rows,30000.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,columns,25.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,predictors,23.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,positive_count,6636.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,negative_count,23364.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,positive_rate,0.2212,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,missing_values,0.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,constant_columns,0.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,largest_categorical_majority_rate,0.6037333333333333,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,full-file structural audit,duplicate_identifiers,0.0,outputs/audit/data_audit.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
