stage,model,scope,metric
2,,full-file structural audit,candidate_leakage_variables
2,,full-file structural audit,columns
2,,full-file structural audit,conflicting_label_groups
2,,full-file structural audit,constant_columns
2,,full-file structural audit,duplicate_identifiers
2,,full-file structural audit,exact_duplicate_rows
2,,full-file structural audit,feature_target_repeated_rows
2,,full-file structural audit,file_size_bytes
2,,full-file structural audit,identifier_columns_dropped
2,,full-file structural audit,largest_categorical_majority_rate
2,,full-file structural audit,maximum_bill_amount
2,,full-file structural audit,maximum_bill_to_limit_ratio
2,,full-file structural audit,maximum_payment_amount
2,,full-file structural audit,missing_values
2,,full-file structural audit,negative_bill_cells
2,,full-file structural audit,negative_count
2,,full-file structural audit,off_grid_credit_limit_rows
2,,full-file structural audit,positive_count
2,,full-file structural audit,positive_rate
2,,full-file structural audit,predictors
2,,full-file structural audit,redundant_feature_only_copies
2,,full-file structural audit,redundant_feature_target_copies
2,,full-file structural audit,repeated_feature_groups
2,,full-file structural audit,repeated_feature_rows
2,,full-file structural audit,rows
2,,full-file structural audit,rows_with_bill_above_credit_limit
2,,full-file structural audit,undocumented_education_or_marriage_cells
2,,full-file structural audit,undocumented_repayment_status_cells
2,,full-file structural audit,zero_recorded_bill_and_payment_rows
2,,source position decile 1,positive_count
2,,source position decile 1,positive_rate
2,,source position decile 1,rows
2,,source position decile 10,positive_count
2,,source position decile 10,positive_rate
2,,source position decile 10,rows
2,,source position decile 2,positive_count
2,,source position decile 2,positive_rate
2,,source position decile 2,rows
2,,source position decile 3,positive_count
2,,source position decile 3,positive_rate
2,,source position decile 3,rows
2,,source position decile 4,positive_count
2,,source position decile 4,positive_rate
2,,source position decile 4,rows
2,,source position decile 5,positive_count
2,,source position decile 5,positive_rate
2,,source position decile 5,rows
2,,source position decile 6,positive_count
2,,source position decile 6,positive_rate
2,,source position decile 6,rows
2,,source position decile 7,positive_count
2,,source position decile 7,positive_rate
2,,source position decile 7,rows
2,,source position decile 8,positive_count
2,,source position decile 8,positive_rate
2,,source position decile 8,rows
2,,source position decile 9,positive_count
2,,source position decile 9,positive_rate
2,,source position decile 9,rows
4,,split,development_positives
4,,split,development_rows
4,,split,inner_folds
4,,split,outer_folds
4,,split,test_positives
4,,split,test_rows
5,,development EDA,age_quintile_1_default_rate
5,,development EDA,age_quintile_2_default_rate
5,,development EDA,age_quintile_3_default_rate
5,,development EDA,age_quintile_4_default_rate
5,,development EDA,age_quintile_5_default_rate
5,,development EDA,audit_bill_to_limit_decile_10_default_rate
5,,development EDA,audit_bill_to_limit_decile_1_default_rate
5,,development EDA,audit_bill_to_limit_decile_2_default_rate
5,,development EDA,audit_bill_to_limit_decile_3_default_rate
5,,development EDA,audit_bill_to_limit_decile_4_default_rate
5,,development EDA,audit_bill_to_limit_decile_5_default_rate
5,,development EDA,audit_bill_to_limit_decile_6_default_rate
5,,development EDA,audit_bill_to_limit_decile_7_default_rate
5,,development EDA,audit_bill_to_limit_decile_8_default_rate
5,,development EDA,audit_bill_to_limit_decile_9_default_rate
5,,development EDA,bill_block_max_absolute_pearson
5,,development EDA,bill_block_mean_absolute_pearson
5,,development EDA,credit_limit_quintile_1_default_rate
5,,development EDA,credit_limit_quintile_2_default_rate
5,,development EDA,credit_limit_quintile_3_default_rate
5,,development EDA,credit_limit_quintile_4_default_rate
5,,development EDA,credit_limit_quintile_5_default_rate
5,,development EDA,development_positive_rate
5,,development EDA,development_positives
5,,development EDA,development_rows
5,,development EDA,largest_absolute_spearman
5,,development EDA,largest_spearman_signed
5,,development EDA,latest_repayment_delay_of_three_months_or_more_default_rate
5,,development EDA,latest_repayment_delay_of_three_months_or_more_rows
5,,development EDA,latest_repayment_non_positive_status_default_rate
5,,development EDA,latest_repayment_non_positive_status_rows
5,,development EDA,latest_repayment_one_month_delay_default_rate
5,,development EDA,latest_repayment_one_month_delay_rows
5,,development EDA,latest_repayment_two_month_delay_default_rate
5,,development EDA,latest_repayment_two_month_delay_rows
5,,development EDA,naive_any_delay_flagged
5,,development EDA,naive_any_delay_precision
5,,development EDA,naive_any_delay_recall
5,,development EDA,nonzero_segment_default_rate
5,,development EDA,repayment_block_max_absolute_pearson
5,,development EDA,repayment_block_mean_absolute_pearson
5,,development EDA,source_last_position_decile_default_rate
5,,development EDA,zero_segment_default_rate
5,,development EDA,zero_segment_rows
8,dt,outer-fold CV,pr_auc_mean
8,dt,outer-fold CV,pr_auc_sd
8,dummy,outer-fold CV,pr_auc_mean
8,dummy,outer-fold CV,pr_auc_sd
8,lr,outer-fold CV,pr_auc_mean
8,lr,outer-fold CV,pr_auc_sd
8,rf,outer-fold CV,pr_auc_mean
8,rf,outer-fold CV,pr_auc_sd
8,xgb,outer-fold CV,pr_auc_mean
8,xgb,outer-fold CV,pr_auc_sd
9,dt,nested development CV,final_fit_search_score
9,dt,nested development CV,pr_auc_fold_1
9,dt,nested development CV,pr_auc_fold_2
9,dt,nested development CV,pr_auc_fold_3
9,dt,nested development CV,pr_auc_fold_4
9,dt,nested development CV,pr_auc_fold_5
9,dt,nested development CV,pr_auc_mean
9,dt,nested development CV,pr_auc_sd
9,dt,nested development CV,search_score
9,lr,nested development CV,final_fit_search_score
9,lr,nested development CV,pr_auc_fold_1
9,lr,nested development CV,pr_auc_fold_2
9,lr,nested development CV,pr_auc_fold_3
9,lr,nested development CV,pr_auc_fold_4
9,lr,nested development CV,pr_auc_fold_5
9,lr,nested development CV,pr_auc_mean
9,lr,nested development CV,pr_auc_sd
9,lr,nested development CV,search_score
9,rf,nested development CV,final_fit_search_score
9,rf,nested development CV,pr_auc_fold_1
9,rf,nested development CV,pr_auc_fold_2
9,rf,nested development CV,pr_auc_fold_3
9,rf,nested development CV,pr_auc_fold_4
9,rf,nested development CV,pr_auc_fold_5
9,rf,nested development CV,pr_auc_mean
9,rf,nested development CV,pr_auc_sd
9,rf,nested development CV,search_score
9,xgb,nested development CV,final_fit_search_score
9,xgb,nested development CV,pr_auc_fold_1
9,xgb,nested development CV,pr_auc_fold_2
9,xgb,nested development CV,pr_auc_fold_3
9,xgb,nested development CV,pr_auc_fold_4
9,xgb,nested development CV,pr_auc_fold_5
9,xgb,nested development CV,pr_auc_mean
9,xgb,nested development CV,pr_auc_sd
9,xgb,nested development CV,search_score
11,dt,OOF reliability bin 1,mean_score
11,dt,OOF reliability bin 1,n
11,dt,OOF reliability bin 1,observed_rate
11,dt,OOF reliability bin 2,mean_score
11,dt,OOF reliability bin 2,n
11,dt,OOF reliability bin 2,observed_rate
11,dt,OOF reliability bin 3,mean_score
11,dt,OOF reliability bin 3,n
11,dt,OOF reliability bin 3,observed_rate
11,dt,OOF reliability bin 4,mean_score
11,dt,OOF reliability bin 4,n
11,dt,OOF reliability bin 4,observed_rate
11,dt,OOF reliability bin 5,mean_score
11,dt,OOF reliability bin 5,n
11,dt,OOF reliability bin 5,observed_rate
11,dt,OOF reliability bin 6,mean_score
11,dt,OOF reliability bin 6,n
11,dt,OOF reliability bin 6,observed_rate
11,dt,OOF reliability bin 7,mean_score
11,dt,OOF reliability bin 7,n
11,dt,OOF reliability bin 7,observed_rate
11,dt,OOF reliability bin 8,mean_score
11,dt,OOF reliability bin 8,n
11,dt,OOF reliability bin 8,observed_rate
11,dt,OOF reliability bin 9,mean_score
11,dt,OOF reliability bin 9,n
11,dt,OOF reliability bin 9,observed_rate
11,dt,nested OOF development,brier
11,dt,nested OOF development,intercept
11,dt,nested OOF development,log_loss
11,dt,nested OOF development,slope
11,lr,OOF reliability bin 1,mean_score
11,lr,OOF reliability bin 1,n
11,lr,OOF reliability bin 1,observed_rate
11,lr,OOF reliability bin 10,mean_score
11,lr,OOF reliability bin 10,n
11,lr,OOF reliability bin 10,observed_rate
11,lr,OOF reliability bin 2,mean_score
11,lr,OOF reliability bin 2,n
11,lr,OOF reliability bin 2,observed_rate
11,lr,OOF reliability bin 3,mean_score
11,lr,OOF reliability bin 3,n
11,lr,OOF reliability bin 3,observed_rate
11,lr,OOF reliability bin 4,mean_score
11,lr,OOF reliability bin 4,n
11,lr,OOF reliability bin 4,observed_rate
11,lr,OOF reliability bin 5,mean_score
11,lr,OOF reliability bin 5,n
11,lr,OOF reliability bin 5,observed_rate
11,lr,OOF reliability bin 6,mean_score
11,lr,OOF reliability bin 6,n
11,lr,OOF reliability bin 6,observed_rate
11,lr,OOF reliability bin 7,mean_score
11,lr,OOF reliability bin 7,n
11,lr,OOF reliability bin 7,observed_rate
11,lr,OOF reliability bin 8,mean_score
11,lr,OOF reliability bin 8,n
11,lr,OOF reliability bin 8,observed_rate
11,lr,OOF reliability bin 9,mean_score
11,lr,OOF reliability bin 9,n
11,lr,OOF reliability bin 9,observed_rate
11,lr,nested OOF development,brier
11,lr,nested OOF development,intercept
11,lr,nested OOF development,log_loss
11,lr,nested OOF development,slope
11,rf,OOF reliability bin 1,mean_score
11,rf,OOF reliability bin 1,n
11,rf,OOF reliability bin 1,observed_rate
11,rf,OOF reliability bin 10,mean_score
11,rf,OOF reliability bin 10,n
11,rf,OOF reliability bin 10,observed_rate
11,rf,OOF reliability bin 2,mean_score
11,rf,OOF reliability bin 2,n
11,rf,OOF reliability bin 2,observed_rate
11,rf,OOF reliability bin 3,mean_score
11,rf,OOF reliability bin 3,n
11,rf,OOF reliability bin 3,observed_rate
11,rf,OOF reliability bin 4,mean_score
11,rf,OOF reliability bin 4,n
11,rf,OOF reliability bin 4,observed_rate
11,rf,OOF reliability bin 5,mean_score
11,rf,OOF reliability bin 5,n
11,rf,OOF reliability bin 5,observed_rate
11,rf,OOF reliability bin 6,mean_score
11,rf,OOF reliability bin 6,n
11,rf,OOF reliability bin 6,observed_rate
11,rf,OOF reliability bin 7,mean_score
11,rf,OOF reliability bin 7,n
11,rf,OOF reliability bin 7,observed_rate
11,rf,OOF reliability bin 8,mean_score
11,rf,OOF reliability bin 8,n
11,rf,OOF reliability bin 8,observed_rate
11,rf,OOF reliability bin 9,mean_score
11,rf,OOF reliability bin 9,n
11,rf,OOF reliability bin 9,observed_rate
11,rf,nested OOF development,brier
11,rf,nested OOF development,intercept
11,rf,nested OOF development,log_loss
11,rf,nested OOF development,slope
11,xgb,OOF reliability bin 1,mean_score
11,xgb,OOF reliability bin 1,n
11,xgb,OOF reliability bin 1,observed_rate
11,xgb,OOF reliability bin 10,mean_score
11,xgb,OOF reliability bin 10,n
11,xgb,OOF reliability bin 10,observed_rate
11,xgb,OOF reliability bin 2,mean_score
11,xgb,OOF reliability bin 2,n
11,xgb,OOF reliability bin 2,observed_rate
11,xgb,OOF reliability bin 3,mean_score
11,xgb,OOF reliability bin 3,n
11,xgb,OOF reliability bin 3,observed_rate
11,xgb,OOF reliability bin 4,mean_score
11,xgb,OOF reliability bin 4,n
11,xgb,OOF reliability bin 4,observed_rate
11,xgb,OOF reliability bin 5,mean_score
11,xgb,OOF reliability bin 5,n
11,xgb,OOF reliability bin 5,observed_rate
11,xgb,OOF reliability bin 6,mean_score
11,xgb,OOF reliability bin 6,n
11,xgb,OOF reliability bin 6,observed_rate
11,xgb,OOF reliability bin 7,mean_score
11,xgb,OOF reliability bin 7,n
11,xgb,OOF reliability bin 7,observed_rate
11,xgb,OOF reliability bin 8,mean_score
11,xgb,OOF reliability bin 8,n
11,xgb,OOF reliability bin 8,observed_rate
11,xgb,OOF reliability bin 9,mean_score
11,xgb,OOF reliability bin 9,n
11,xgb,OOF reliability bin 9,observed_rate
11,xgb,nested OOF development,brier
11,xgb,nested OOF development,intercept
11,xgb,nested OOF development,log_loss
11,xgb,nested OOF development,slope
12,dt,nested OOF development,fn
12,dt,nested OOF development,fp
12,dt,nested OOF development,precision
12,dt,nested OOF development,precision_at_050
12,dt,nested OOF development,recall
12,dt,nested OOF development,recall_at_050
12,dt,nested OOF development,threshold
12,lr,nested OOF development,fn
12,lr,nested OOF development,fp
12,lr,nested OOF development,precision
12,lr,nested OOF development,precision_at_050
12,lr,nested OOF development,recall
12,lr,nested OOF development,recall_at_050
12,lr,nested OOF development,threshold
12,rf,nested OOF development,fn
12,rf,nested OOF development,fp
12,rf,nested OOF development,precision
12,rf,nested OOF development,precision_at_050
12,rf,nested OOF development,recall
12,rf,nested OOF development,recall_at_050
12,rf,nested OOF development,threshold
12,xgb,nested OOF development,fn
12,xgb,nested OOF development,fp
12,xgb,nested OOF development,precision
12,xgb,nested OOF development,precision_at_050
12,xgb,nested OOF development,recall
12,xgb,nested OOF development,recall_at_050
12,xgb,nested OOF development,threshold
13,dt,locked holdout test,calibration_slope
13,dt,locked holdout test,fn
13,dt,locked holdout test,fp
13,dt,locked holdout test,pr_auc
13,dt,locked holdout test,pr_auc_ci_high
13,dt,locked holdout test,pr_auc_ci_low
13,dt,locked holdout test,precision
13,dt,locked holdout test,recall
13,dt,locked holdout test,roc_auc
13,dt,locked holdout test,threshold
13,dt,locked holdout test,tn
13,dt,locked holdout test,tp
13,lr,locked holdout test,calibration_slope
13,lr,locked holdout test,fn
13,lr,locked holdout test,fp
13,lr,locked holdout test,pr_auc
13,lr,locked holdout test,pr_auc_ci_high
13,lr,locked holdout test,pr_auc_ci_low
13,lr,locked holdout test,precision
13,lr,locked holdout test,recall
13,lr,locked holdout test,roc_auc
13,lr,locked holdout test,threshold
13,lr,locked holdout test,tn
13,lr,locked holdout test,tp
13,rf,locked holdout test,calibration_slope
13,rf,locked holdout test,fn
13,rf,locked holdout test,fp
13,rf,locked holdout test,pr_auc
13,rf,locked holdout test,pr_auc_ci_high
