,call_failure,complains,subscription_length,charge_amount,seconds_of_use,mean_call_duration,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status
call_failure,1.0,0.11762934167541926,0.25020468247970107,0.5765541909644734,0.4730542223404912,0.021371386793217182,0.5568763502679795,0.27561511181093984,0.5222799423802899,0.0526310009881352,0.13737355839898477,-0.14053353943572466
complains,0.11762934167541926,1.0,-0.009207279143229273,-0.08184329926772814,-0.11965389429953027,-0.06140147145198657,-0.08874738605949856,-0.0644737382708397,-0.056174550875313714,0.034632528040305637,0.01746801750565037,0.2707966267448769
subscription_length,0.25020468247970107,-0.009207279143229273,1.0,0.15028153905069194,0.14756327083740595,0.010659971132939561,0.17718793002134017,0.09651693157256992,0.16181231758358167,0.05100687119197888,-0.17423864055371707,0.06811287714035463
charge_amount,0.5765541909644734,-0.08184329926772814,0.15028153905069194,1.0,0.5008647900388931,0.25693593503522394,0.45881383874658377,0.32402029286014605,0.4422884971013264,0.18351723671512135,0.2735877487587097,-0.4892755359016984
seconds_of_use,0.4730542223404912,-0.11965389429953027,0.14756327083740595,0.5008647900388931,1.0,0.5152363028998572,0.9357108595371251,0.3173341314014082,0.7594602977124965,0.008271514335841258,0.14101255639652024,-0.598691133460594
mean_call_duration,0.021371386793217182,-0.06140147145198657,0.010659971132939561,0.25693593503522394,0.5152363028998572,1.0,0.23171452147242835,0.09250352724800777,0.14556503098895815,0.1260084660376541,-0.09757000402099932,-0.32661155052446494
frequency_of_use,0.5568763502679795,-0.08874738605949856,0.17718793002134017,0.45881383874658377,0.9357108595371251,0.23171452147242835,1.0,0.31585878830590575,0.8235479966378645,-0.04367308949877976,0.19783354647228107,-0.5311361797202896
frequency_of_sms,0.27561511181093984,-0.0644737382708397,0.09651693157256992,0.32402029286014605,0.3173341314014082,0.09250352724800777,0.31585878830590575,1.0,0.3300637532286363,0.04440872168382771,0.27194820527033414,-0.27503578422615166
distinct_called_numbers,0.5222799423802899,-0.056174550875313714,0.16181231758358167,0.4422884971013264,0.7594602977124965,0.14556503098895815,0.8235479966378645,0.3300637532286363,1.0,-0.01267420523030792,0.16292033566987763,-0.4541701198424846
age_group,0.0526310009881352,0.034632528040305637,0.05100687119197888,0.18351723671512135,0.008271514335841258,0.1260084660376541,-0.04367308949877976,0.04440872168382771,-0.01267420523030792,1.0,-0.17252137455402297,0.029731804698030963
tariff_plan,0.13737355839898477,0.01746801750565037,-0.17423864055371707,0.2735877487587097,0.14101255639652024,-0.09757000402099932,0.19783354647228107,0.27194820527033414,0.16292033566987763,-0.17252137455402297,1.0,-0.1636387537890645
status,-0.14053353943572466,0.2707966267448769,0.06811287714035463,-0.4892755359016984,-0.598691133460594,-0.32661155052446494,-0.5311361797202896,-0.27503578422615166,-0.4541701198424846,0.029731804698030963,-0.1636387537890645,1.0
