encoded_term,original_feature,display_term,term_importance
raw__call_failure,call_failure,Call failures,0.0
raw__complains,complains,Complaint registered,0.5158802780096476
raw__subscription_length,subscription_length,Subscription length (months),0.044764788637071604
raw__charge_amount,charge_amount,Charge amount band,0.0
raw__seconds_of_use,seconds_of_use,Seconds of use,0.08490472344343411
raw__frequency_of_use,frequency_of_use,Number of calls,0.0
raw__frequency_of_sms,frequency_of_sms,Number of text messages,0.0
raw__distinct_called_numbers,distinct_called_numbers,Distinct called numbers,0.09995617502711834
raw__age_group,age_group,Age band,0.0
raw__tariff_plan,tariff_plan,Contractual plan,0.0
raw__status,status,Account inactive,0.2544940348827282
