feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
complains,Complaint registered,0.325857708857992,0.04642578213676424,150,0.3917106882284473,0.3068727342753117,0.29243765903994395,0.2844704058114418,0.3537970569348152,1
status,Account inactive,0.17097501769009796,0.042339409900049474,150,0.12915975350721828,0.14608793971959214,0.23992342410849904,0.1597930145565085,0.1799109565586719,2
subscription_length,Subscription length (months),0.06613874076972286,0.024706292991086183,150,0.0255594684614238,0.06996630800224092,0.07283808466056738,0.0790954407705743,0.08323440195380796,3
frequency_of_use,Number of calls,0.045451065026355014,0.028695386455617894,150,0.03536213276533454,0.04825405616158102,0.014664209137707048,0.03769224388616291,0.09128268318098959,4
distinct_called_numbers,Distinct called numbers,0.03026490136391016,0.019460023823831336,150,0.04550414553285418,0.03418842851735433,0.04884634677668854,0.02278558599265377,0.0,5
frequency_of_sms,Number of text messages,0.02001137521671133,0.023561815647594415,150,0.0,0.0023206674544943963,0.003002672443677919,0.04738914305434608,0.04734439313103828,6
age_group,Age band,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,7
call_failure,Call failures,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,8
charge_amount,Charge amount band,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,9
tariff_plan,Contractual plan,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,10
seconds_of_use,Seconds of use,-0.00037942997855152353,0.0007775415674768259,150,0.0,0.0,-0.0018971498927576177,0.0,0.0,11
