feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
complains,Complaint registered,0.305298183368668,0.04104694214592176,150,0.3514518936087307,0.28431551019179685,0.280539997348666,0.2895030628833263,0.3206804528108201,1
frequency_of_use,Number of calls,0.16702695336276124,0.04954065355100789,150,0.18780289582190057,0.1250410017391535,0.21209128527911117,0.19645883080140836,0.11374075317223259,2
frequency_of_sms,Number of text messages,0.07056625620055498,0.027926590501246924,150,0.06523976629513424,0.07374663050939943,0.05472243334436953,0.084422971152923,0.07469947970094877,3
call_failure,Call failures,0.05691849102719576,0.025913283638699353,150,0.03013813505655422,0.051432567199716374,0.0686123615667087,0.06424090326660871,0.07016848804639082,4
age_group,Age band,0.02596058387186741,0.019209882253095334,150,0.024210613370593402,0.014345094828212257,0.036224505764931164,0.04420186141783666,0.010820843977763568,5
status,Account inactive,0.022591409083040387,0.018011081851100858,150,0.005235321536692542,0.033156143353631824,0.02653067618431176,0.013988056419439666,0.034046847921126146,6
charge_amount,Charge amount band,0.004139297850290477,0.010388626800044709,150,0.0034423327173446947,-0.0010341283452458847,0.011019954499420788,0.006251638081146193,0.0010166922987865923,7
distinct_called_numbers,Distinct called numbers,0.0037356294197426277,0.007412315535245463,150,0.005067979207396626,0.008855832981213308,0.00023803711624401276,0.0034795466950872916,0.0010367510987719004,8
tariff_plan,Contractual plan,0.0028597589939067395,0.008323157252140058,150,0.0023123503180865717,0.0032180741229581073,0.0027784500198322977,0.007300643924358722,-0.0013107234157020012,9
subscription_length,Subscription length (months),0.0017492996599218472,0.010542111541459875,150,0.014866480454139389,-0.003266865661290097,-0.00258127883546105,0.005902200752575689,-0.006174038410354695,10
mean_call_duration,Mean call duration (seconds),-0.0022997851946041205,0.004748689369085005,150,0.0018738980472755536,-0.0002055295151613105,-0.0034054610490394264,0.0006854196171555989,-0.010447253073251016,11
