feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
complains,Complaint registered,0.25551291734748516,0.039764229180613966,150,0.27311224017531405,0.22453625404787692,0.2597115150609265,0.2726999575535921,0.24750461989971625,1
status,Account inactive,0.21048840319779866,0.03326191625885072,150,0.16057048458304782,0.2293122035807593,0.22528522879663057,0.22551519736161552,0.21175890166694003,2
seconds_of_use,Seconds of use,0.09199651913805686,0.015888824143024706,150,0.0938228721037391,0.08363315407882117,0.09034684711700845,0.09972921145958974,0.0924505109311259,3
subscription_length,Subscription length (months),0.0853077862468775,0.023447883352478695,150,0.05648635449854035,0.0876390389535647,0.090888571199126,0.11585315250781991,0.07567181407533653,4
distinct_called_numbers,Distinct called numbers,0.06834498485296524,0.01583319250403687,150,0.061363696365140545,0.0590165372039808,0.07330043657578837,0.07991326973066158,0.06813098438925488,5
frequency_of_use,Number of calls,0.06357793399988904,0.019019004933489056,150,0.07351840682050934,0.04691333193711943,0.060449300695204995,0.07376465570586838,0.06324397484074298,6
age_group,Age band,0.04673764751231725,0.011468531185178479,150,0.04163861581523184,0.05022258124558667,0.04693588050730038,0.05165970618517722,0.04323145380829017,7
call_failure,Call failures,0.03390925938949076,0.010164179852994233,150,0.021905615579830513,0.031263752631771946,0.03699040772467719,0.03958238454468734,0.0398041364664868,8
frequency_of_sms,Number of text messages,0.018713800850540804,0.008524733384688838,150,0.014390473918196155,0.023628765077067182,0.01198972828174792,0.025517076509623877,0.01804296046606886,9
charge_amount,Charge amount band,0.003304476723057892,0.003129174358557413,150,0.0023275788030587274,0.0007756694278697889,0.003500988900286787,0.004478069825615905,0.005440076658458252,10
tariff_plan,Contractual plan,-0.0005586011916993986,0.0007618924029456094,150,0.000251856364309296,-0.0011805216931868128,-0.0005311444097278129,0.00015781765168519182,-0.0014910138715768554,11
