feature,display_name,importance_mean,importance_sd,n_measurements,fold_mean_1,fold_mean_2,fold_mean_3,fold_mean_4,fold_mean_5,rank
complains,Complaint registered,0.17058986954646588,0.04781364652502821,150,0.1719078110726427,0.12456884368956746,0.19059236799647772,0.15031716591941105,0.2155631590542305,1
frequency_of_use,Number of calls,0.15539353465415437,0.02738240032142545,150,0.15929091986261876,0.1477247673385211,0.16647722227862402,0.1660457173180641,0.1374290464729437,2
status,Account inactive,0.133893083200829,0.03449088225440387,150,0.090678931713892,0.1222783645044003,0.17339009766395003,0.14172210320261028,0.14139591891929235,3
subscription_length,Subscription length (months),0.13001563654497203,0.03390143747063193,150,0.09925087074513814,0.11932317815253407,0.15858369995512206,0.1679875734377607,0.10493286043430514,4
call_failure,Call failures,0.1078057705972067,0.03383766162961394,150,0.07455257081565951,0.11849497246468269,0.13019667402537843,0.13949603502388427,0.07628860065642867,5
seconds_of_use,Seconds of use,0.07486193274654183,0.020802799463681697,150,0.09036852587231527,0.053067370707313176,0.08293409190277086,0.07767410501202329,0.07026557023828661,6
age_group,Age band,0.05885955217785733,0.023371682959113828,150,0.05206177738143636,0.06602683475066383,0.0598729892998264,0.08730549984008393,0.029030659617276192,7
distinct_called_numbers,Distinct called numbers,0.0470774362331695,0.02426300151567184,150,0.054858875778274106,0.04581154232296442,0.07792372543020827,0.01812541067433738,0.038667626960063275,8
frequency_of_sms,Number of text messages,0.04430987944319983,0.020034108757655593,150,0.029429389547481845,0.03664983459746562,0.050468890333199866,0.07277064744507049,0.03223063529278139,9
charge_amount,Charge amount band,0.001551991290563562,0.0036536438052468347,150,-0.0007445954605473001,0.0029038752379120978,0.0017289187196815456,0.0026076743140126682,0.001264083641758799,10
tariff_plan,Contractual plan,8.185162692759744e-05,8.404579988182892e-05,150,0.00011962022166847422,0.00010768717329131168,0.00016000765560845916,3.9837794118317374e-05,-1.7894710048575273e-05,11
