model,bin,mean_score,observed_rate,n
lr,1,0.00017253304972134496,0.0,252
lr,2,0.0007355313452810531,0.0,252
lr,3,0.0019028694989769827,0.0,252
lr,4,0.0060931524126487694,0.007936507936507936,252
lr,5,0.017075073759051564,0.027777777777777776,252
lr,6,0.03548706618634841,0.031746031746031744,252
lr,7,0.09868168501597623,0.06746031746031746,252
lr,8,0.21732487998189604,0.24603174603174602,252
lr,9,0.3915569102933311,0.4444444444444444,252
lr,10,0.7991091118062084,0.746031746031746,252
dt,1,0.0037213396822856223,0.01161751563896336,1119
dt,2,0.027559055118110232,0.03468208092485549,173
dt,3,0.03299072023280983,0.029023746701846966,379
dt,4,0.05305802262253875,0.03,100
dt,5,0.23941416010346225,0.24666666666666667,300
dt,6,0.5054640441700319,0.475,200
dt,7,0.7924481242788276,0.7791164658634538,249
rf,1,2.599703179151834e-06,0.0,252
rf,2,0.000265846131568315,0.0,252
rf,3,0.0011831386017108543,0.0,252
rf,4,0.003511259298855447,0.0,252
rf,5,0.007589901496936348,0.0,252
rf,6,0.0165022040763881,0.007905138339920948,253
rf,7,0.050839787465583416,0.0199203187250996,251
rf,8,0.14654607288696275,0.047619047619047616,252
rf,9,0.45304389661032013,0.5277777777777778,252
rf,10,0.8696747496538442,0.9682539682539683,252
xgb,1,5.283856371570148e-05,0.0,252
xgb,2,0.0001736320314410564,0.0,252
xgb,3,0.0004185327350222949,0.003968253968253968,252
xgb,4,0.0008510425398107766,0.0,252
xgb,5,0.0016693436062066918,0.003968253968253968,252
xgb,6,0.0037294523790478706,0.011904761904761904,252
xgb,7,0.011868411239000067,0.007936507936507936,252
xgb,8,0.06105873473579922,0.06746031746031746,252
xgb,9,0.4790189451286717,0.5119047619047619,252
xgb,10,0.9596957826898211,0.9642857142857143,252
