threshold,predicted_positive,precision,recall,tp,fp,tn,fn
1.0,72,0.9722222222222222,0.17676767676767677,70,2,2122,326
0.96875,79,0.9746835443037974,0.19444444444444445,77,2,2122,319
0.8727272727272727,99,0.9494949494949495,0.23737373737373738,94,5,2119,302
0.7413793103448276,113,0.8938053097345132,0.255050505050505,101,12,2112,295
0.7272727272727273,126,0.8650793650793651,0.27525252525252525,109,17,2107,287
0.7021276595744681,132,0.8560606060606061,0.28535353535353536,113,19,2105,283
0.6976744186046512,146,0.8424657534246576,0.3106060606060606,123,23,2101,273
0.6896551724137931,160,0.83125,0.33585858585858586,133,27,2097,263
0.6666666666666666,164,0.8292682926829268,0.3434343434343434,136,28,2096,260
0.66,186,0.8225806451612904,0.38636363636363635,153,33,2091,243
0.6511627906976745,200,0.825,0.4166666666666667,165,35,2089,231
0.6470588235294118,225,0.7955555555555556,0.45202020202020204,179,46,2078,217
0.6306306306306306,249,0.7791164658634538,0.4898989898989899,194,55,2069,202
0.6302521008403361,274,0.7664233576642335,0.5303030303030303,210,64,2060,186
0.6285714285714286,279,0.7670250896057348,0.5404040404040404,214,65,2059,182
0.6101694915254238,317,0.7539432176656151,0.6035353535353535,239,78,2046,157
0.6071428571428571,361,0.7257617728531855,0.6616161616161617,262,99,2025,134
0.5161290322580645,365,0.7205479452054795,0.6641414141414141,263,102,2022,133
0.5151515151515151,373,0.7131367292225201,0.6717171717171717,266,107,2017,130
0.4,386,0.7124352331606217,0.6944444444444444,275,111,2013,121
0.3870967741935484,388,0.7087628865979382,0.6944444444444444,275,113,2011,121
0.3404255319148936,404,0.6881188118811881,0.702020202020202,278,126,1998,118
0.3263598326359833,449,0.643652561247216,0.7297979797979798,289,160,1964,107
0.3162393162393162,508,0.610236220472441,0.7828282828282829,310,198,1926,86
0.3150684931506849,573,0.5759162303664922,0.8333333333333334,330,243,1881,66
0.29081632653061223,621,0.5555555555555556,0.8712121212121212,345,276,1848,51
0.25,625,0.5536,0.8737373737373737,346,279,1845,50
0.22857142857142856,668,0.5374251497005988,0.9065656565656566,359,309,1815,37
0.19047619047619047,688,0.5218023255813954,0.9065656565656566,359,329,1795,37
0.07017543859649122,711,0.509142053445851,0.9141414141414141,362,349,1775,34
0.06956521739130435,737,0.4925373134328358,0.9166666666666666,363,374,1750,33
0.05555555555555555,749,0.48464619492656874,0.9166666666666666,363,386,1738,33
0.05454545454545454,760,0.4776315789473684,0.9166666666666666,363,397,1727,33
0.05357142857142857,770,0.4714285714285714,0.9166666666666666,363,407,1717,33
0.05278592375366569,849,0.43109540636042404,0.9242424242424242,366,483,1641,30
0.03474903474903475,1033,0.35818005808325265,0.9343434343434344,370,663,1461,26
0.031331592689295036,1228,0.30700325732899025,0.952020202020202,377,851,1273,19
0.027559055118110236,1401,0.27337615988579583,0.9671717171717171,383,1018,1106,13
0.022388059701492536,1587,0.24700693131695023,0.98989898989899,392,1195,929,4
0.0,2520,0.15714285714285714,1.0,396,2124,0,0
