dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Iranian Churn,4,,split,development_rows,2520.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,development_positives,396.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,test_rows,630.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,test_positives,99.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,test_rows_with_development_feature_pattern,100.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,outer_folds,5.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,4,,split,inner_folds,3.0,outputs/split/split_spec.json,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,lr,outer-fold CV,pr_auc_mean,0.741458901028709,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,lr,outer-fold CV,pr_auc_sd,0.03941634380968825,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,dt,outer-fold CV,pr_auc_mean,0.7882418428655251,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,dt,outer-fold CV,pr_auc_sd,0.020630357195314527,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,rf,outer-fold CV,pr_auc_mean,0.9268238401524883,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,rf,outer-fold CV,pr_auc_sd,0.026604958080306263,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,xgb,outer-fold CV,pr_auc_mean,0.9487559507671438,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,xgb,outer-fold CV,pr_auc_sd,0.01914755446893851,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,dummy,outer-fold CV,pr_auc_mean,0.15714285714285714,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,8,dummy,outer-fold CV,pr_auc_sd,0.0008873285624999133,outputs/modelling/baseline_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_mean,0.7462038494592672,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_sd,0.037409132871706094,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_fold_1,0.7754054254015266,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_fold_2,0.7496421706981089,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_fold_3,0.6885936193823252,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_fold_4,0.7352100739972965,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,pr_auc_fold_5,0.7821679578170788,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,search_score,0.7507517248203487,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,lr,nested development CV,final_fit_search_score,0.7405793450137548,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_mean,0.7114316929630007,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_sd,0.032479663844809374,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_fold_1,0.7290004547981689,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_fold_2,0.709443951364002,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_fold_3,0.703238864284814,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_fold_4,0.664075905646672,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,pr_auc_fold_5,0.7513992887213464,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,search_score,0.70135341621567,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,dt,nested development CV,final_fit_search_score,0.7060387469846502,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_mean,0.9387690337755771,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_sd,0.01052827027463108,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_fold_1,0.943297440340068,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_fold_2,0.9393979425141513,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_fold_3,0.9370255656455297,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_fold_4,0.9226814104441482,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,pr_auc_fold_5,0.9514428099339884,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,search_score,0.9237111385738721,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,rf,nested development CV,final_fit_search_score,0.9327198519273764,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_mean,0.9374210842766244,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_sd,0.020431170628260987,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_fold_1,0.955636564154518,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_fold_2,0.9401353416012815,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_fold_3,0.9236838795341381,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_fold_4,0.9102029745831098,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,pr_auc_fold_5,0.9574466615100745,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,search_score,0.9208859366176283,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,9,xgb,nested development CV,final_fit_search_score,0.9393392718053128,outputs/modelling/nested_cv.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,lr,nested OOF development,slope,0.9521482978367657,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,lr,nested OOF development,intercept,-0.040051600110169484,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,lr,nested OOF development,brier,0.07112573891606327,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,lr,nested OOF development,log_loss,0.2253495234340445,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,dt,nested OOF development,slope,0.7664887589768801,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,dt,nested OOF development,intercept,-0.19461285150877683,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,dt,nested OOF development,brier,0.06672811185924629,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,dt,nested OOF development,log_loss,0.23908409231646532,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,rf,nested OOF development,slope,1.6868849908560517,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,rf,nested OOF development,intercept,0.43105357286886853,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,rf,nested OOF development,brier,0.03445709038060231,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,rf,nested OOF development,log_loss,0.1216464467893315,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
Iranian Churn,11,xgb,nested OOF development,slope,0.9803885191699913,outputs/modelling/calibration.csv,True,42,iranian-churn-workflow-2026-08-25-v1:5a56e73ff4c0b718
