,Credit duration (months),Credit amount (DM),Age (years),Checking account status,Credit history,Savings,Employment duration,Instalment rate (% of income),Time at present residence,Most valuable property,Number of credits at this bank,Job quality,Three or more dependants,Telephone registered,Foreign worker,Purpose,Personal status and sex,Other debtors or guarantor,Other instalment plans,Housing
Credit duration (months),1.0,0.6262262343580699,-0.020063057283274448,-0.0799721076234367,-0.048625940294200885,0.04235482742671301,0.05924427344938143,0.11278153548569324,0.02290730355527434,0.3029093976873988,0.011881361262134106,0.2567535701464029,-0.03419959457172656,0.1932461804681189,-0.1725297851674029,0.046189314813085816,0.005496151254253259,-0.030156826589579657,-0.08132238370001957,0.15145218782761738
Credit amount (DM),0.6262262343580699,1.0,0.025135990479359518,-0.02604134247164368,-0.033367941739532565,0.05968457653978013,-0.007319088843333392,-0.32643180790135573,-0.010355739127518037,0.29527544118403753,0.007647539330431398,0.29510480095283503,0.04803288403476555,0.2603454111905887,-0.037650555239510344,-0.0794621415877913,-0.009583490922893699,0.006099648941979268,-0.055604963736057486,0.10523779674998476
Age (years),-0.020063057283274448,0.025135990479359518,1.0,0.12016332862830383,0.17735324093805382,0.12963084772616562,0.32888461411740755,0.08726828504720549,0.2596433892481698,0.10572591993798637,0.13846635484001024,0.023012766963393265,0.16958374114192246,0.16134820854608378,0.0036900771186982474,-0.03245857237850569,0.09339565093860326,-0.03350102652246171,-0.02834404111798378,0.33546826715720957
Checking account status,-0.0799721076234367,-0.02604134247164368,0.12016332862830383,1.0,0.207737447527228,0.25384208642870776,0.11501239696364038,0.0010325941484085734,-0.031168720789286078,-0.024363991912566642,0.09237797435475152,0.04427394892227698,-0.045918848614370955,0.09023720645673622,-0.04586461774053221,0.029626187462874955,0.03412136881671549,-0.09310341923923547,0.06581225022962203,0.028980271375704098
Credit history,-0.048625940294200885,-0.033367941739532565,0.17735324093805382,0.207737447527228,1.0,0.014405942182049889,0.14665243611796594,0.06406997978393073,0.06963639288210464,-0.056319209985199806,0.5088123145318765,0.03137071015837117,-0.03372421636671425,0.06835729125808077,0.01310557814019905,-0.06287878042047614,0.04104157802266595,-0.04688133717168121,0.19817786065835755,0.07940384052832147
Savings,0.04235482742671301,0.05968457653978013,0.12963084772616562,0.25384208642870776,0.014405942182049889,1.0,0.133891072718012,-0.005813959316970642,0.08029789091236447,0.022854747113213846,-0.04562210273954403,0.011067564990672712,0.015327366119487732,0.08793605957359399,0.023585630694785573,-0.029437873192977304,0.017977223933277692,-0.09768447443300661,0.0029777583377271436,-0.0012205208712321508
Employment duration,0.05924427344938143,-0.007319088843333392,0.32888461411740755,0.11501239696364038,0.14665243611796594,0.133891072718012,1.0,0.13878557835794192,0.2653594798160024,0.10446869619283956,0.1354697286842244,0.09267898766973008,0.09081284053924482,0.05871669180797286,-0.04297402650527406,0.01617573946464693,0.1628261581596044,-0.012271505837909435,-0.008359045121878928,0.12684652605882155
Instalment rate (% of income),0.11278153548569324,-0.32643180790135573,0.08726828504720549,0.0010325941484085734,0.06406997978393073,-0.005813959316970642,0.13878557835794192,1.0,0.07851120118857384,0.05971306147579039,0.028428292585651556,0.11924760422359397,-0.08012741274901207,0.013586802052851654,-0.11477314400619998,0.11044180512525431,0.11044038949232975,-0.036125843997944974,0.014490953297761908,0.0907330522648335
Time at present residence,0.02290730355527434,-0.010355739127518037,0.2596433892481698,-0.031168720789286078,0.06963639288210464,0.08029789091236447,0.2653594798160024,0.07851120118857384,1.0,0.16150414261484114,0.05514554849339934,0.006817142998789645,0.043043081251302066,0.06271259699165338,-0.04518309118274994,-0.060696656131636086,-0.04465825409446092,-0.03261208760669231,0.027547912754131283,0.024886413267679538
Most valuable property,0.3029093976873988,0.29527544118403753,0.10572591993798637,-0.024363991912566642,-0.056319209985199806,0.022854747113213846,0.10446869619283956,0.05971306147579039,0.16150414261484114,1.0,-0.006486689417420764,0.29314950183184946,0.03757792469447733,0.20246245659921755,-0.13611779571566623,-0.01650066544319808,-0.02772085398892212,-0.13283122523372515,-0.1203867994109921,0.3271888944724985
