encoded_term,display_term,coefficient,sign,odds_ratio,absolute_coefficient
ordinal__laufkont,Checking account status,-0.6546109466393841,negative,0.5196441925842706,0.6546109466393841
nominal__verw_0,Purpose = others,0.46301379710789625,positive,1.5888552638723605,0.46301379710789625
ordinal__moral,Credit history,-0.43205394526740143,negative,0.6491743558563351,0.43205394526740143
nominal__verw_1,Purpose = car (new),-0.41853330171690345,negative,0.6580112163240611,0.41853330171690345
quant__laufzeit,Credit duration (months),0.3516301117704445,positive,1.4213826737510016,0.3516301117704445
ordinal__sparkont,Savings,-0.3435988496189085,negative,0.7092133722077913,0.3435988496189085
nominal__famges_2,Personal status and sex = female: non-single or male: single,0.3404480607470754,positive,1.4055772334792271,0.3404480607470754
nominal__verw_6,Purpose = repairs,0.26123570893279474,positive,1.298533705357989,0.26123570893279474
binary__gastarb,Foreign worker,-0.24138489205264882,negative,0.7855392203922735,0.24138489205264882
nominal__buerge_3,Other debtors or guarantor = guarantor,-0.22236832561185862,negative,0.8006204210139676,0.22236832561185862
binary__telef,Telephone registered,-0.20945951278400718,negative,0.8110224748104939,0.20945951278400718
nominal__wohn_1,Housing = for free,0.19243037033996155,positive,1.2121920962452837,0.19243037033996155
nominal__weitkred_1,Other instalment plans = bank,0.1919984202851561,positive,1.2116686028725108,0.1919984202851561
nominal__weitkred_2,Other instalment plans = stores,0.18622539128515472,positive,1.2046937572541307,0.18622539128515472
nominal__famges_1,Personal status and sex = male: divorced/separated,0.18020391446215284,positive,1.1974615179489954,0.18020391446215284
ordinal__rate,Instalment rate (% of income),0.17851381009294004,positive,1.1954393922885946,0.17851381009294004
ordinal__beszeit,Employment duration,-0.17390224798993248,negative,0.8403790423840717,0.17390224798993248
ordinal__verm,Most valuable property,0.16609846241206927,positive,1.1806893495214212,0.16609846241206927
ordinal__bishkred,Number of credits at this bank,0.12612547594879217,positive,1.1344245023438522,0.12612547594879217
amount__hoehe,Credit amount (DM),0.0912966684151043,positive,1.095593985181624,0.0912966684151043
nominal__verw_5,Purpose = domestic appliances,0.08806851441114395,positive,1.0920629415144316,0.08806851441114395
ordinal__beruf,Job quality,0.08553637978147102,positive,1.0893011891624536,0.08553637978147102
nominal__wohn_3,Housing = own,0.08296888298803871,positive,1.0865079991398117,0.08296888298803871
nominal__verw_2,Purpose = car (used),0.07534976622318058,positive,1.0782612242930394,0.07534976622318058
nominal__buerge_2,Other debtors or guarantor = co-applicant,0.05892219969299095,positive,1.0606927153110552,0.05892219969299095
nominal__verw_9,Purpose = retraining,-0.05314281099585958,negative,0.9482445830588978,0.05314281099585958
nominal__verw_8,Purpose = vacation,-0.04661386036334267,negative,0.9544558796896094,0.04661386036334267
nominal__verw_10,Purpose = business,-0.03634726670690809,negative,0.9643053641833177,0.03634726670690809
quant__alter,Age (years),-0.02932845326497382,negative,0.9710974519504206,0.02932845326497382
nominal__verw_4,Purpose = radio/television,0.02498965696656557,positive,1.0253045157106995,0.02498965696656557
ordinal__wohnzeit,Time at present residence,-0.021561640948674406,negative,0.978669149515016,0.021561640948674406
nominal__famges_4,Personal status and sex = female: single,0.007452935113918442,positive,1.0074807773606635,0.007452935113918442
binary__pers,Three or more dependants,0.0031237336206106137,positive,1.0031286175605285,0.0031237336206106137
