feature,display_name,importance_mean,importance_sd,n_measurements,rank
laufkont,Checking account status,0.11165580532484178,0.04837367087413423,150,1
moral,Credit history,0.06310349412186937,0.041804809433587824,150,2
laufzeit,Credit duration (months),0.04333001302393868,0.0358679898662022,150,3
sparkont,Savings,0.035597544658628334,0.0346670669422629,150,4
verw,Purpose,0.024374133280357424,0.026363391703825137,150,5
rate,Instalment rate (% of income),0.017848852544096606,0.024398218589646917,150,6
famges,Personal status and sex,0.014754863097456251,0.01941567470003042,150,7
bishkred,Number of credits at this bank,0.005241782475070821,0.013312596707994163,150,8
beszeit,Employment duration,0.0034996353973961434,0.01697175947355408,150,9
verm,Most valuable property,0.00337267371458185,0.01658582277566845,150,10
gastarb,Foreign worker,0.00300751274160148,0.005921140566981638,150,11
buerge,Other debtors or guarantor,0.0020857411788601735,0.005961220764540197,150,12
wohn,Housing,0.001073673230306793,0.013097409168339147,150,13
telef,Telephone registered,0.0008827108007293857,0.01517289725950253,150,14
hoehe,Credit amount (DM),0.0004975511719424919,0.012463691953061806,150,15
weitkred,Other instalment plans,-0.0006993962472829307,0.013310332036133526,150,16
pers,Three or more dependants,-0.0027380647867359846,0.00403955759682089,150,17
alter,Age (years),-0.0028038716892993553,0.004475436844157721,150,18
wohnzeit,Time at present residence,-0.004865715317230849,0.005692286064697252,150,19
beruf,Job quality,-0.010269635851805672,0.011278236021195888,150,20
