feature,display_name,importance_mean,importance_sd,n_measurements,rank
laufkont,Checking account status,0.11993561275560556,0.0507259225412425,150,1
laufzeit,Credit duration (months),0.038258988910964534,0.038765332223017625,150,2
sparkont,Savings,0.03349035470268089,0.027587837569264057,150,3
hoehe,Credit amount (DM),0.03062462620895334,0.028224347448254753,150,4
moral,Credit history,0.02903552918788644,0.027998897673999795,150,5
verw,Purpose,0.016832641382962647,0.01969331682465628,150,6
rate,Instalment rate (% of income),0.007749144713092967,0.012602023009730305,150,7
wohnzeit,Time at present residence,0.0036796537799421675,0.01322472856157184,150,8
buerge,Other debtors or guarantor,0.0021811371719628837,0.006374003494021482,150,9
gastarb,Foreign worker,0.0016924738669419237,0.004053592123257951,150,10
beszeit,Employment duration,0.001261666907730054,0.01447423980525942,150,11
pers,Three or more dependants,0.001159153765556027,0.00455174226133323,150,12
beruf,Job quality,0.0005887597455249842,0.008532340318637062,150,13
telef,Telephone registered,0.0002221088206500658,0.0061691739340172325,150,14
verm,Most valuable property,0.0001871494751586685,0.013566879029328885,150,15
famges,Personal status and sex,-0.00215447691524224,0.016523201783124164,150,16
bishkred,Number of credits at this bank,-0.003847817276790683,0.006799432806264681,150,17
wohn,Housing,-0.004432178585468316,0.01422833062111361,150,18
weitkred,Other instalment plans,-0.005487289679832724,0.010143172659685992,150,19
alter,Age (years),-0.005840212438567688,0.016476573983608998,150,20
