feature,display_name,importance_mean,importance_sd,n_measurements,rank
laufkont,Checking account status,0.12046850395807458,0.040658579007915654,150,1
moral,Credit history,0.05516076434027504,0.02892050317458728,150,2
hoehe,Credit amount (DM),0.05484003506950223,0.03750805648248255,150,3
sparkont,Savings,0.0475111919951279,0.031218753799834745,150,4
laufzeit,Credit duration (months),0.042287543894171345,0.03815929601177871,150,5
rate,Instalment rate (% of income),0.022869883242086594,0.01822836556170136,150,6
verw,Purpose,0.020350095368740006,0.02206270491510036,150,7
verm,Most valuable property,0.011998682493968274,0.0182405853718964,150,8
telef,Telephone registered,0.009106492170251682,0.015353191475346282,150,9
beszeit,Employment duration,0.007294052922183939,0.013810014776982144,150,10
beruf,Job quality,0.006020120279668467,0.011189801195741525,150,11
famges,Personal status and sex,0.005635729028301176,0.018568041308827724,150,12
alter,Age (years),0.00512629857816716,0.015866947118574237,150,13
buerge,Other debtors or guarantor,0.0050876589770876834,0.011030860204098776,150,14
wohnzeit,Time at present residence,0.003265903952943268,0.01964678194067682,150,15
weitkred,Other instalment plans,0.0030384078341367813,0.011976090194458352,150,16
bishkred,Number of credits at this bank,0.0022131413497607478,0.013879561006287072,150,17
wohn,Housing,0.0018653900844336558,0.010421731269650838,150,18
gastarb,Foreign worker,0.0011851464408395374,0.0025209666715756357,150,19
pers,Three or more dependants,-0.000643292196482063,0.0031999883582493416,150,20
