model,bin,mean_score,observed_rate,n
lr,1,0.03470029211176541,0.025,80
lr,2,0.07214269859948834,0.0875,80
lr,3,0.11140278762048768,0.15,80
lr,4,0.15397081315807987,0.1625,80
lr,5,0.2035247732590287,0.175,80
lr,6,0.2679432047553852,0.225,80
lr,7,0.35914528031182186,0.375,80
lr,8,0.471758152288228,0.4625,80
lr,9,0.5888009519145976,0.625,80
lr,10,0.7573421575087093,0.7125,80
dt,1,0.021475790926591843,0.07894736842105263,114
dt,2,0.05856792116503548,0.16981132075471697,53
dt,3,0.12962249780262627,0.14130434782608695,92
dt,4,0.16596412271805272,0.11764705882352941,68
dt,5,0.2302795587526501,0.24705882352941178,85
dt,6,0.35015215762584184,0.4,100
dt,7,0.4269675925925926,0.390625,64
dt,8,0.4924114783910997,0.4583333333333333,96
dt,9,0.6569349273644258,0.5918367346938775,49
dt,10,0.7323065235702713,0.5316455696202531,79
rf,1,0.06261794537427383,0.025,80
rf,2,0.12356095207417073,0.1125,80
rf,3,0.16950601746383082,0.0875,80
rf,4,0.21484737556758157,0.15,80
rf,5,0.2647207256919642,0.225,80
rf,6,0.3160496492721475,0.2125,80
rf,7,0.36246632723044725,0.4625,80
rf,8,0.41744452709953084,0.5,80
rf,9,0.491895915287557,0.55,80
rf,10,0.6152094886711141,0.675,80
xgb,1,0.019180298683932052,0.0375,80
xgb,2,0.049396279640495776,0.1,80
xgb,3,0.08004959477111698,0.125,80
xgb,4,0.1254361850209534,0.2,80
xgb,5,0.18058797158300877,0.1375,80
xgb,6,0.26450500190258025,0.225,80
xgb,7,0.36711524836719034,0.3875,80
xgb,8,0.48583754040300847,0.55,80
xgb,9,0.6330933883786202,0.5875,80
xgb,10,0.8310782715678215,0.65,80
