threshold,precision,recall,fp,fn,tp,tn
0.0,0.3,1.0,560,0,240,0
0.03125,0.3202702702702703,0.9875,503,3,237,57
0.03571428571428571,0.3237704918032787,0.9875,495,3,237,65
0.050724637681159424,0.32503457814661135,0.9791666666666666,488,5,235,72
0.05454545454545454,0.336734693877551,0.9625,455,9,231,105
0.058823529411764705,0.34446130500758726,0.9458333333333333,432,13,227,128
0.06666666666666667,0.34674922600619196,0.9333333333333333,422,16,224,138
0.08823529411764706,0.35071090047393366,0.925,411,18,222,149
0.08888888888888889,0.3514376996805112,0.9166666666666666,406,20,220,154
0.1,0.3526570048309179,0.9125,402,21,219,158
0.11627906976744186,0.35784313725490197,0.9125,393,21,219,167
0.13636363636363635,0.36318407960199006,0.9125,384,21,219,176
0.13709677419354838,0.3627287853577371,0.9083333333333333,383,22,218,177
0.15151515151515152,0.37543859649122807,0.8916666666666667,356,26,214,204
0.15625,0.38632162661737524,0.8708333333333333,332,31,209,228
0.16666666666666666,0.3890977443609023,0.8625,325,33,207,235
0.1724137931034483,0.4178794178794179,0.8375,280,39,201,280
0.1891891891891892,0.4249471458773784,0.8375,272,39,201,288
0.2127659574468085,0.43103448275862066,0.8333333333333334,264,40,200,296
0.23076923076923078,0.44097995545657015,0.825,251,42,198,309
0.23214285714285715,0.4404494382022472,0.8166666666666667,249,44,196,311
0.23376623376623376,0.45011600928074247,0.8083333333333333,237,46,194,323
0.23809523809523808,0.4543269230769231,0.7875,227,51,189,333
0.2619047619047619,0.4626865671641791,0.775,216,54,186,344
0.2631578947368421,0.4639175257731959,0.75,208,60,180,352
0.2702702702702703,0.46153846153846156,0.725,203,66,174,357
0.3333333333333333,0.46866485013623976,0.7166666666666667,195,68,172,365
0.34285714285714286,0.4776536312849162,0.7125,187,69,171,373
0.3611111111111111,0.4753623188405797,0.6833333333333333,181,76,164,379
0.38181818181818183,0.4807121661721068,0.675,175,78,162,385
0.3918918918918919,0.48148148148148145,0.65,168,84,156,392
0.3939393939393939,0.4861111111111111,0.5833333333333334,148,100,140,412
0.4,0.49454545454545457,0.5666666666666667,139,104,136,421
0.4074074074074074,0.49624060150375937,0.55,134,108,132,426
0.43636363636363634,0.49808429118773945,0.5416666666666666,131,110,130,429
0.45555555555555555,0.5040650406504065,0.5166666666666667,122,116,124,438
0.47368421052631576,0.5133928571428571,0.4791666666666667,109,125,115,451
0.4878048780487805,0.5164319248826291,0.4583333333333333,103,130,110,457
0.5,0.519774011299435,0.38333333333333336,85,148,92,475
0.5333333333333333,0.5546875,0.29583333333333334,57,169,71,503
0.6712328767123288,0.5537190082644629,0.2791666666666667,54,173,67,506
0.6756756756756757,0.5288461538461539,0.22916666666666666,49,185,55,511
0.6842105263157895,0.5360824742268041,0.21666666666666667,45,188,52,515
0.7121212121212122,0.5316455696202531,0.175,37,198,42,523
0.7213114754098361,0.5636363636363636,0.12916666666666668,24,209,31,536
0.7714285714285715,0.5,0.03333333333333333,8,232,8,552
0.7857142857142857,0.5555555555555556,0.020833333333333332,4,235,5,556
0.9444444444444444,0.0,0.0,1,240,0,559
1.0,0.0,0.0,0,240,0,560
