dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
South German Credit,4,,split,development_rows,800.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,4,,split,development_positives,240.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,4,,split,test_rows,200.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,4,,split,test_positives,60.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,4,,split,outer_folds,5.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,4,,split,inner_folds,3.0,outputs/split/split_spec.json,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,lr,outer-fold CV,pr_auc_mean,0.6253901149328783,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,lr,outer-fold CV,pr_auc_sd,0.0531958951696183,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,dt,outer-fold CV,pr_auc_mean,0.45694083067650243,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,dt,outer-fold CV,pr_auc_sd,0.05589455434910366,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,rf,outer-fold CV,pr_auc_mean,0.6122823172073405,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,rf,outer-fold CV,pr_auc_sd,0.09188281900030779,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,xgb,outer-fold CV,pr_auc_mean,0.6101584098505098,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,xgb,outer-fold CV,pr_auc_sd,0.06749423798110905,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,dummy,outer-fold CV,pr_auc_mean,0.3,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,8,dummy,outer-fold CV,pr_auc_sd,0.0,outputs/modelling/baseline_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_mean,0.6333699929870681,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_sd,0.06447696555891252,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_fold_1,0.6631610779082624,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_fold_2,0.7105679398195283,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_fold_3,0.5736952817498365,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_fold_4,0.5592069370799363,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,pr_auc_fold_5,0.6602187283777766,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,search_score,0.62081885169214,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,lr,nested development CV,final_fit_search_score,0.6314189674303493,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_mean,0.4797264255637802,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_sd,0.040311053883700994,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_fold_1,0.4939562652299647,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_fold_2,0.5341440624504664,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_fold_3,0.4740884823920501,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_fold_4,0.42253830173342155,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,pr_auc_fold_5,0.4739050160129983,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,search_score,0.4898766956357988,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,dt,nested development CV,final_fit_search_score,0.48422265745306664,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,rf,nested development CV,pr_auc_mean,0.6141861730187973,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,rf,nested development CV,pr_auc_sd,0.06319531063894976,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
South German Credit,9,rf,nested development CV,pr_auc_fold_1,0.6512765251578843,outputs/modelling/nested_cv.csv,True,42,sgc-workflow-2026-08-22-v1:e29a20a66fc69356
